"Pop","ID"
"AS","16"
"AS","17"
"AS","18"
"AS","19"
"AS","20"
"AS","21"
"AS","22"
"AS","23"
"AS","24"
"AS","25"
"AS","26"
"AS","27"
"AS","28"
"AS","29"
"AS","30"
"BM","16"
"BM","18"
"BM","19"
"BM","20"
"BM","21"
"BM","22"
"BM","23"
"BM","24"
"BM","25"
"BM","26"
"BM","27"
"BM","28"
"BM","29"
"BM","30"
"BV","16"
"BV","17"
"BV","18"
"BV","19"
"BV","20"
"BV","21"
"BV","22"
"BV","23"
"BV","24"
"BV","25"
"BV","26"
"BV","27"
"BV","28"
"BV","29"
"BV","30"
"DC","10"
"DC","11"
"DC","12"
"DC","13"
"DC","14"
"DC","15"
"DC","1"
"DC","2"
"DC","4"
"DC","5"
"DC","6"
"DC","7"
"DC","8"
"DC","9"
"DH","13"
"DH","14"
"DH","15"
"DH","16"
"DH","17"
"DH","18"
"DH","19"
"DH","20"
"DH","21"
"DH","22"
"DH","23"
"DH","24"
"DH","25"
"DH","26"
"DH","28"
"EW","13"
"EW","14"
"EW","15"
"EW","16"
"EW","2"
"EW","3"
"EW","4"
"EW","5"
"EW","6"
"EW","7"
"FR","10"
"FR","11"
"FR","12"
"FR","13"
"FR","14"
"FR","15"
"FR","1"
"FR","2"
"FR","3"
"FR","4"
"FR","5"
"FR","6"
"FR","7"
"FR","8"
"FR","9"
"HO","10"
"HO","11"
"HO","12"
"HO","13"
"HO","14"
"HO","15"
"HO","2"
"HO","4"
"HO","5"
"HO","6"
"HO","7"
"HO","8"
"HO","9"
"JC","10"
"JC","11"
"JC","12"
"JC","13"
"JC","14"
"JC","15"
"JC","1"
"JC","2"
"JC","3"
"JC","4"
"JC","5"
"JC","6"
"JC","7"
"JC","8"
"JC","9"
"LV","17"
"LV","18"
"LV","19"
"LV","20"
"LV","21"
"LV","22"
"LV","23"
"LV","24"
"LV","25"
"LV","28"
"LV","29"
"LV","30"
"MD","10"
"MD","11"
"MD","12"
"MD","13"
"MD","14"
"MD","15"
"MD","1"
"MD","2"
"MD","3"
"MD","4"
"MD","5"
"MD","6"
"MD","7"
"MD","8"
"MD","9"
"PL","16"
"PL","17"
"PL","18"
"PL","1"
"PL","20"
"PL","21"
"PL","22"
"PL","23"
"PL","24"
"PL","25"
"PL","26"
"PL","27"
"PL","3"
"PL","5"
"PT","15"
"PT","3"
"PT","4"
"PT","5"
"PT","6"
"PT","7"
"PT","8"
"PW","13"
"PW","14"
"PW","15"
"PW","1"
"PW","2"
"PW","3"
"PW","4"
"PW","5"
"PW","7"
"PW","9"
"SC","10"
"SC","11"
"SC","12"
"SC","13"
"SC","14"
"SC","15"
"SC","1"
"SC","2"
"SC","3"
"SC","4"
"SC","5"
"SC","6"
"SC","7"
"SC","9"
"SS","10"
"SS","12"
"SS","13"
"SS","15"
"SS","2"
"SS","3"
"SS","5"
"SS","6"
"SS","9"
"VM","10"
"VM","11"
"VM","12"
"VM","13"
"VM","14"
"VM","15"
"VM","1"
"VM","2"
"VM","3"
"VM","4"
"VM","5"
"VM","6"
"VM","7"
"VM","8"
"VM","9"
