param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1489.54,1.001
q_ind_1_pop_0,1993.55,1.001
q_ind_2_pop_0,1186.75,1.000
q_ind_3_pop_0,1619.79,1.001
q_ind_4_pop_0,2176.79,1.000
q_ind_5_pop_0,1350.50,1.003
q_ind_6_pop_0,1920.24,1.000
q_ind_7_pop_0,1585.94,1.001
q_ind_8_pop_0,2086.99,1.001
q_ind_9_pop_0,1711.28,1.000
q_ind_10_pop_0,2044.15,1.001
q_ind_11_pop_0,2060.25,1.002
q_ind_12_pop_0,3182.73,1.001
q_ind_13_pop_0,1199.06,1.004
q_ind_14_pop_0,1223.57,1.002
q_ind_15_pop_0,852.40,1.002
q_ind_16_pop_0,1182.99,1.001
q_ind_17_pop_0,1169.58,1.002
q_ind_18_pop_0,469.13,1.005
q_ind_19_pop_0,805.80,1.002
q_ind_20_pop_0,1740.67,1.001
q_ind_21_pop_0,667.42,1.004
q_ind_22_pop_0,501.69,1.002
q_ind_23_pop_0,1430.89,1.001
q_ind_24_pop_0,1299.89,1.002
q_ind_25_pop_0,1139.67,1.002
q_ind_26_pop_0,1059.55,1.000
q_ind_27_pop_0,1118.25,1.003
q_ind_28_pop_0,596.92,1.001
q_ind_29_pop_0,1736.43,1.002
q_ind_30_pop_0,1328.36,1.000
q_ind_31_pop_0,1258.49,1.000
q_ind_32_pop_0,2570.71,1.001
q_ind_33_pop_0,1707.64,1.001
q_ind_34_pop_0,2256.20,1.003
q_ind_35_pop_0,2360.99,1.000
q_ind_36_pop_0,2819.03,1.000
q_ind_37_pop_0,1127.94,1.000
q_ind_38_pop_0,1562.71,1.000
q_ind_39_pop_0,1206.97,1.000
q_ind_40_pop_0,2551.73,1.001
q_ind_41_pop_0,1128.37,1.001
q_ind_42_pop_0,489.70,1.002
q_ind_43_pop_0,1539.53,1.000
q_ind_44_pop_0,368.81,1.006
q_ind_45_pop_0,400.12,1.009
q_ind_46_pop_0,791.78,1.002
q_ind_47_pop_0,426.44,1.002
q_ind_48_pop_0,924.58,1.003
q_ind_49_pop_0,264.23,1.004
q_ind_50_pop_0,323.40,1.003
q_ind_51_pop_0,345.75,1.000
q_ind_52_pop_0,420.42,1.005
q_ind_53_pop_0,577.70,1.007
q_ind_54_pop_0,183.87,1.007
q_ind_55_pop_0,247.17,1.006
q_ind_56_pop_0,1717.78,1.000
q_ind_57_pop_0,1343.12,1.003
q_ind_58_pop_0,2741.82,1.001
q_ind_59_pop_0,1815.53,1.000
q_ind_60_pop_0,2443.46,1.000
q_ind_61_pop_0,1261.92,1.002
q_ind_62_pop_0,2520.80,1.000
q_ind_63_pop_0,3319.28,1.000
q_ind_64_pop_0,2304.47,1.000
q_ind_65_pop_0,2386.26,1.000
q_ind_66_pop_0,2175.63,1.001
q_ind_67_pop_0,3006.65,1.000
q_ind_68_pop_0,295.11,1.014
q_ind_69_pop_0,2741.56,1.002
q_ind_70_pop_0,2454.71,1.000
q_ind_71_pop_0,382.22,1.001
q_ind_72_pop_0,614.85,1.004
q_ind_73_pop_0,361.38,1.008
q_ind_74_pop_0,454.30,1.007
q_ind_75_pop_0,312.82,1.009
q_ind_76_pop_0,714.51,1.003
q_ind_77_pop_0,539.47,1.007
q_ind_78_pop_0,2382.25,1.001
q_ind_79_pop_0,806.15,1.003
q_ind_80_pop_0,1390.04,1.000
q_ind_81_pop_0,1258.01,1.001
q_ind_82_pop_0,801.42,1.003
q_ind_83_pop_0,900.87,1.000
q_ind_84_pop_0,1452.88,1.001
q_ind_85_pop_0,445.17,1.003
q_ind_86_pop_0,714.69,1.003
q_ind_87_pop_0,1258.62,1.003
q_ind_88_pop_0,1279.97,1.003
q_ind_89_pop_0,905.97,1.003
q_ind_90_pop_0,1125.64,1.002
q_ind_91_pop_0,1107.64,1.001
q_ind_92_pop_0,932.24,1.001
q_ind_93_pop_0,517.36,1.001
q_ind_94_pop_0,1228.71,1.001
q_ind_95_pop_0,1242.70,1.001
q_ind_96_pop_0,747.12,1.002
q_ind_97_pop_0,921.67,1.001
q_ind_98_pop_0,873.48,1.002
q_ind_99_pop_0,2690.00,1.002
q_ind_100_pop_0,1471.25,1.000
q_ind_101_pop_0,1706.60,1.001
q_ind_102_pop_0,1356.28,1.002
q_ind_103_pop_0,1537.63,1.002
q_ind_104_pop_0,1619.82,1.001
q_ind_105_pop_0,1510.37,1.000
q_ind_106_pop_0,1368.61,1.003
q_ind_107_pop_0,1567.72,1.005
q_ind_108_pop_0,1946.05,1.001
q_ind_109_pop_0,1505.02,1.001
q_ind_110_pop_0,1463.78,1.000
q_ind_111_pop_0,1682.58,1.001
q_ind_112_pop_0,1532.58,1.000
q_ind_113_pop_0,2133.12,1.003
q_ind_114_pop_0,1725.82,1.000
q_ind_115_pop_0,1883.31,1.000
q_ind_116_pop_0,1767.74,1.000
q_ind_117_pop_0,1693.19,1.000
q_ind_118_pop_0,1841.53,1.000
q_ind_119_pop_0,1765.96,1.001
q_ind_120_pop_0,2006.42,1.002
q_ind_121_pop_0,1817.25,1.001
q_ind_122_pop_0,1774.03,1.000
q_ind_123_pop_0,1407.95,1.001
q_ind_124_pop_0,2317.95,1.000
q_ind_125_pop_0,1757.84,1.001
q_ind_126_pop_0,1800.52,1.002
q_ind_127_pop_0,1991.42,1.000
q_ind_128_pop_0,1730.46,1.001
q_ind_129_pop_0,1666.27,1.000
q_ind_130_pop_0,1723.06,1.001
