"Sp","Ploidy","Pop","ID","All","SpPloidy","Name","Lat","Long","PopPloidy","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","ESS1","ESS2","ESS3","Rhat1","Rhat2","Rhat3"
"CD",2,"IP",10,"CD2_IP_10","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-17.8454445321015,-25.9868201283137,-28.148622737646,25.0229267559466,-59.0831474627864,0.236054,0.543469,0.220477,1489.54,1461.74,1333.91,1.001,1.001,1.002
"CD",2,"IP",11,"CD2_IP_11","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.8926543703125,-26.5761622422587,-28.7993877524315,30.3369362882029,-71.9562281718964,0.21381,0.566439,0.219751,1993.55,1420.55,1398.26,1.001,1.002,1.001
"CD",2,"IP",12,"CD2_IP_12","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-23.6701698843838,-29.2135316100659,-25.1816382664686,24.7532571921185,-53.2814793626671,0.182597,0.547549,0.269854,1186.75,1213.09,1170.16,1,1,1
"CD",2,"IP",1,"CD2_IP_1","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.1553410588933,-27.6849412145181,-30.1264129203894,28.8732358382266,-67.6524633108728,0.182515,0.574369,0.243116,1619.79,1255.12,1530.39,1.001,1.001,1.002
"CD",2,"IP",2,"CD2_IP_2","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2489519906623,-22.8937720790789,-31.8065384277488,30.1645788316478,-78.3485189969205,0.196655,0.598083,0.205261,2176.79,1679.24,1427.28,1,1.001,1.001
"CD",2,"IP",3,"CD2_IP_3","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.2496900843263,-28.7213482753402,-28.3542576702751,26.063911497787,-64.9190368477564,0.185779,0.569879,0.244342,1350.5,1318.22,1432.13,1.003,1.003,1.001
"CD",2,"IP",4,"CD2_IP_4","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.3630768783262,-26.8043426824042,-29.4030251642998,31.7391869390287,-77.1023310995267,0.212743,0.568944,0.218313,1920.24,1911.27,1696.57,1,1.001,1
"CD",2,"IP",5,"CD2_IP_5","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.3735640612539,-28.2674502145404,-29.6161881836132,30.1559370167423,-72.5375038408969,0.184737,0.583904,0.231359,1585.94,1691.94,1567.17,1.001,1,1
"CD",2,"IP",6,"CD2_IP_6","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2874633853423,-28.2204682480416,-27.3431702318475,31.7764339067078,-74.0539823819528,0.214984,0.552454,0.232561,2086.99,1739.19,1898.65,1.001,1.001,1
"CD",2,"IP",7,"CD2_IP_7","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2574141910342,-28.0488786785644,-30.8518345616329,31.1195857987153,-73.4580725780543,0.195287,0.572885,0.231828,1711.28,1303.12,1332.82,1,1.002,1.003
"CD",2,"IP",8,"CD2_IP_8","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.2946230959317,-30.002573884149,-29.7219277511968,31.8790985162208,-74.9727828329869,0.210686,0.555888,0.233426,2044.15,1513.73,1558.02,1.001,1,1
"CD",2,"IP",9,"CD2_IP_9","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.473485548147,-27.1845014152835,-29.2794039312125,29.7577800080511,-69.4907293629292,0.202858,0.558356,0.238786,2060.25,1921.56,1594.34,1.002,1.003,1.001
"CD",2,"LA",10,"CD2_LA_10","CD2","Lake Valley",38.29264,-114.51919,"LA2",-20.9067679226784,12.618837001699,23.9831518763444,5.33053666847382,10.1169820784465,0.255819,0.614785,0.129396,3182.73,2864.88,2032.32,1.001,1.001,1.001
"CD",2,"LA",11,"CD2_LA_11","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.6132682263015,44.101988002271,33.9173293690232,6.19883447216254,-1.87577047416548,0.000544,0.969324,0.030133,1199.06,767.47,768.61,1.004,1.001,1.001
"CD",2,"LA",1,"CD2_LA_1","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.8699116921569,45.2538872899325,32.5644777065471,6.06602178928539,-1.48424908534876,0.000548,0.961322,0.03813,1223.57,821.14,811.76,1.002,1,1
"CD",2,"LA",2,"CD2_LA_2","CD2","Lake Valley",38.29264,-114.51919,"LA2",-65.8238688670601,43.3342593777462,29.2681600833016,6.2974984821135,-2.67356542351196,0.000698,0.960067,0.039235,852.4,735.65,725.53,1.002,1.004,1.003
"CD",2,"LA",3,"CD2_LA_3","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.1551068612153,40.2771490216379,33.4893933909427,4.99732953552419,-1.3394598287436,0.000519,0.936355,0.063126,1182.99,909.95,909.01,1.001,1.002,1.001
"CD",2,"LA",6,"CD2_LA_6","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.8024179620115,45.3298925190299,32.3723563910118,6.75891589519038,-0.655892277499553,0.000488,0.953443,0.046069,1169.58,843.4,785.75,1.002,1.006,1.006
"CD",2,"LA",7,"CD2_LA_7","CD2","Lake Valley",38.29264,-114.51919,"LA2",-69.0686974474522,44.0264228411319,33.568440392771,4.70799332766486,-0.891440398554207,0.002083,0.943943,0.053974,469.13,937,986.93,1.005,1.003,1.003
"CD",2,"LA",8,"CD2_LA_8","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.9323371318629,46.1383729385931,31.1001324085373,7.86392569736941,-0.373162227650787,0.000742,0.95261,0.046648,805.8,704.11,716.15,1.002,1.002,1.003
"CD",2,"LS",10,"CD2_LS_10","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",57.4562979763169,-10.3398859223726,11.3663516638117,9.03954246876142,3.23869360785423,0.755523,0.181655,0.062821,1740.67,1289.95,965.59,1.001,1,1
"CD",2,"LS",11,"CD2_LS_11","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1469102235598,-6.76563728828479,24.0417003461455,2.33841109139484,25.8995203220475,0.998002,0.001589,0.000409,667.42,652.51,1730.99,1.004,1.004,1
"CD",2,"LS",12,"CD2_LS_12","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",94.9308483776529,-7.4490663254806,24.4158611661079,2.21346254749898,24.0489170213269,0.996595,0.000976,0.002429,501.69,520.22,504.01,1.002,1.005,1.001
