"Sp","Ploidy","Pop","ID","All","SpPloidy","Name","Lat","Long","PopPloidy","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","ESS1","ESS2","ESS3","ESS4","Rhat1","Rhat2","Rhat3","Rhat4"
"CD",2,"IP",10,"CD2_IP_10","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-17.8454445321015,-25.9868201283137,-28.148622737646,25.0229267559466,-59.0831474627864,0.000477,0.477202,0.390157,0.132164,1139.86,1292.94,1205.21,1266.94,1.003,1.001,1,1.001
"CD",2,"IP",11,"CD2_IP_11","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.8926543703125,-26.5761622422587,-28.7993877524315,30.3369362882029,-71.9562281718964,0.000947,0.490662,0.412545,0.095845,758.7,1242.86,1403.68,1623.66,1.002,1,1.002,1.002
"CD",2,"IP",12,"CD2_IP_12","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-23.6701698843838,-29.2135316100659,-25.1816382664686,24.7532571921185,-53.2814793626671,0.000688,0.476048,0.431705,0.09156,673.2,1040.38,1054.71,989.56,1.004,1.001,1.002,1
"CD",2,"IP",1,"CD2_IP_1","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.1553410588933,-27.6849412145181,-30.1264129203894,28.8732358382266,-67.6524633108728,0.001098,0.503538,0.426567,0.068797,661.31,1272.78,1231.95,1124.17,1.001,1,1,1.002
"CD",2,"IP",2,"CD2_IP_2","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2489519906623,-22.8937720790789,-31.8065384277488,30.1645788316478,-78.3485189969205,0.000428,0.522273,0.396424,0.080874,1063.51,1431.04,1277.81,1446.04,1.002,1.005,1.002,1.003
"CD",2,"IP",3,"CD2_IP_3","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.2496900843263,-28.7213482753402,-28.3542576702751,26.063911497787,-64.9190368477564,0.001327,0.498352,0.420645,0.079675,706.63,1107.28,1047.11,1052.58,1.002,1,1,1.001
"CD",2,"IP",4,"CD2_IP_4","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.3630768783262,-26.8043426824042,-29.4030251642998,31.7391869390287,-77.1023310995267,0.000316,0.496839,0.405831,0.097013,1468.02,1160.29,1372.58,1658.25,1,1.002,1.001,1
"CD",2,"IP",5,"CD2_IP_5","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.3735640612539,-28.2674502145404,-29.6161881836132,30.1559370167423,-72.5375038408969,0.000335,0.505626,0.418194,0.075845,1466.97,1255.63,1181.86,1308.3,1.001,1.001,1.002,1.001
"CD",2,"IP",6,"CD2_IP_6","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2874633853423,-28.2204682480416,-27.3431702318475,31.7764339067078,-74.0539823819528,0.000653,0.486161,0.418267,0.09492,979.42,1273.48,1251.62,1570.39,1,1,1,1.001
"CD",2,"IP",7,"CD2_IP_7","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2574141910342,-28.0488786785644,-30.8518345616329,31.1195857987153,-73.4580725780543,0.000273,0.492578,0.432705,0.074444,1739.11,1031.47,1082.71,1326.89,1.003,1.001,1,1.002
"CD",2,"IP",8,"CD2_IP_8","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.2946230959317,-30.002573884149,-29.7219277511968,31.8790985162208,-74.9727828329869,0.000489,0.487036,0.417097,0.095378,1106.53,1440.66,1456.16,1713.16,1,1.002,1.001,1.001
"CD",2,"IP",9,"CD2_IP_9","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.473485548147,-27.1845014152835,-29.2794039312125,29.7577800080511,-69.4907293629292,0.000312,0.492032,0.408585,0.099071,1521.91,1291.96,878.42,1733.74,1.001,1.001,1.001,1
"CD",2,"LA",10,"CD2_LA_10","CD2","Lake Valley",38.29264,-114.51919,"LA2",-20.9067679226784,12.618837001699,23.9831518763444,5.33053666847382,10.1169820784465,0.039212,0.628996,0.093455,0.238337,1823.38,2594.59,1600.65,3169.13,1,1,1.002,1.002
"CD",2,"LA",11,"CD2_LA_11","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.6132682263015,44.101988002271,33.9173293690232,6.19883447216254,-1.87577047416548,0.027368,0.971367,0.000928,0.000336,958.68,877.06,509.56,1306.26,1.001,1.001,1.004,1.002
"CD",2,"LA",1,"CD2_LA_1","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.8699116921569,45.2538872899325,32.5644777065471,6.06602178928539,-1.48424908534876,0.027399,0.971037,0.001148,0.000415,876.85,834.23,536.92,1307.38,1.001,1.001,1.012,1
"CD",2,"LA",2,"CD2_LA_2","CD2","Lake Valley",38.29264,-114.51919,"LA2",-65.8238688670601,43.3342593777462,29.2681600833016,6.2974984821135,-2.67356542351196,0.026372,0.96993,0.003155,0.000543,901.21,777.95,212.75,1023.08,1.004,1,1.011,1
"CD",2,"LA",3,"CD2_LA_3","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.1551068612153,40.2771490216379,33.4893933909427,4.99732953552419,-1.3394598287436,0.046325,0.952233,0.000867,0.000575,1157.74,1223.3,579.86,935.61,1,1,1.005,1.002
"CD",2,"LA",6,"CD2_LA_6","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.8024179620115,45.3298925190299,32.3723563910118,6.75891589519038,-0.655892277499553,0.036583,0.962319,0.000678,0.00042,1274.25,1277.97,811.13,1294.1,1.002,1.002,1,1.002
"CD",2,"LA",7,"CD2_LA_7","CD2","Lake Valley",38.29264,-114.51919,"LA2",-69.0686974474522,44.0264228411319,33.568440392771,4.70799332766486,-0.891440398554207,0.034844,0.953414,0.009545,0.002197,1164.97,676.67,243.92,303.64,1,1.008,1.014,1.003
"CD",2,"LA",8,"CD2_LA_8","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.9323371318629,46.1383729385931,31.1001324085373,7.86392569736941,-0.373162227650787,0.030487,0.967155,0.001746,0.000612,879.41,938.37,540.3,820.25,1.003,1.003,1.004,1.001
"CD",2,"LS",10,"CD2_LS_10","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",57.4562979763169,-10.3398859223726,11.3663516638117,9.03954246876142,3.23869360785423,0.002734,0.184928,0.106801,0.705537,314.8,1380.22,927,1852.76,1,1.003,1.004,1.001
"CD",2,"LS",11,"CD2_LS_11","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1469102235598,-6.76563728828479,24.0417003461455,2.33841109139484,25.8995203220475,0.000334,0.000844,0.000381,0.998441,1605.12,710.43,1195.61,854.33,1.001,1.005,1.003,1.004
"CD",2,"LS",12,"CD2_LS_12","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",94.9308483776529,-7.4490663254806,24.4158611661079,2.21346254749898,24.0489170213269,0.005165,0.000659,0.000601,0.993575,710.71,885.09,712.85,767.05,1.002,1.001,1.001,1.003
"CD",2,"LS",1,"CD2_LS_1","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.9486589054407,-6.27049093119625,25.2882051721879,1.92777840889299,27.480680379274,0.000269,0.000358,0.000273,0.9991,1829.54,1263.3,1827.43,1401.84,1.001,1.001,1.003,1.003
"CD",2,"LS",2,"CD2_LS_2","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.8327116323821,-6.74855209066414,24.7660207799342,2.03925544475998,22.1145449357696,0.000395,0.000426,0.000508,0.998671,1303.82,1087.42,887.58,1075.31,1.005,1.001,1.002,1.006
"CD",2,"LS",3,"CD2_LS_3","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.753786437595,-7.5638433282345,25.3495079276864,3.09251188168272,26.7889415622069,0.000858,0.000355,0.000296,0.99849,864.01,1395.14,1432.92,981.78,1.007,1.002,1.001,1.007
"CD",2,"LS",4,"CD2_LS_4","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.4698559401996,-6.44136019211096,22.6999749150913,2.62234648839379,20.8249019003387,0.000426,0.000452,0.000481,0.998642,1096.27,1080.15,1071.5,1074.76,1.001,1.002,1.001,1.002
"CD",2,"LS",5,"CD2_LS_5","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.905669655295,-7.44245380231708,27.4260891621984,2.20675116833003,31.1046345159201,0.000208,0.000368,0.000307,0.999118,2321.19,1310.49,1440.51,1454.04,1.002,1.001,1.001,1
"CD",2,"LS",6,"CD2_LS_6","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1867214457026,-6.63171723259999,24.1728239602363,2.2701210803111,22.5754603900803,0.000512,0.013357,0.000595,0.985536,962.2,265.84,865.61,291.73,1.001,1.014,1.001,1.013
"CD",2,"LS",7,"CD2_LS_7","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",78.7548337400196,-7.71970007630195,13.4463159243807,1.16029384841717,23.6968236921055,0.003232,0.093288,0.055331,0.848149,388.87,1113.67,756.64,1674.55,1.001,1.002,1.005,1.001
"CD",2,"LS",8,"CD2_LS_8","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.124864453213,-6.79413079298142,26.2000807068558,2.04677289504133,27.8591486339225,0.000178,0.000306,0.00031,0.999206,2679.61,1678.44,1681.06,1651.34,1,1,1,1
"CD",2,"LS",9,"CD2_LS_9","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.7656767211252,-6.76572879583795,23.236186923583,2.12105669538399,23.8265118129331,0.000209,0.000368,0.000372,0.999052,2452.86,1366.46,1434.26,1474.15,1,1,1.002,1.001
"CD",2,"MM",10,"CD2_MM_10","CD2","Mono Mills",37.9075,-118.95347,"MM2",-77.1480959879484,75.2588767382036,57.898106631449,36.9145484911119,5.61926258597929,0.000405,0.999228,0.000217,0.00015,1382.08,1728.53,2067.9,3089.9,1.001,1.001,1,1
"CD",2,"MM",11,"CD2_MM_11","CD2","Mono Mills",37.9075,-118.95347,"MM2",-76.2228017490751,72.3362713030057,57.5175886167698,37.4454403049465,5.62998325272848,0.000328,0.999113,0.000311,0.000248,1212.14,1559.55,1481.48,1843.06,1,1.001,1.002,1.001
"CD",2,"MM",12,"CD2_MM_12","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.8338746911303,73.3119013849516,57.1624196718252,37.7593818285936,4.32824381991688,0.000209,0.999382,0.000224,0.000186,2229.84,2043.14,1671.75,2538.82,1.002,1.001,1.002,1
"CD",2,"MM",1,"CD2_MM_1","CD2","Mono Mills",37.9075,-118.95347,"MM2",-30.0464986526896,40.7662392032788,37.5569570763628,18.9779905226697,3.30129846325069,0.022358,0.753051,0.013892,0.2107,1266.29,1150.13,206.11,2127.68,1.004,1,1.002,1.001
"CD",2,"MM",2,"CD2_MM_2","CD2","Mono Mills",37.9075,-118.95347,"MM2",-77.8248407490949,76.0512468300964,59.8754139465864,40.1590831216753,5.3229491218586,0.000224,0.999422,0.000219,0.000135,1881.61,2212.64,2190.18,3372.71,1,1.001,1.001,1
"CD",2,"MM",3,"CD2_MM_3","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.0124334789745,71.4620979268344,53.9456441070489,34.817691333952,6.31286764459822,0.000285,0.999029,0.000334,0.000351,1766.47,1538.03,1545.15,1433.96,1.001,1.002,1.001,1.001
"CD",2,"MM",4,"CD2_MM_4","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.6231332456489,68.066427210828,52.6366570563859,33.4570126927218,3.83086060754059,0.000471,0.998855,0.000392,0.000282,1022.78,1090.52,1239.98,1514.34,1.003,1.001,1.002,1
"CD",2,"MM",5,"CD2_MM_5","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.8265584373919,72.5553307522855,59.0534857462812,37.7652447231749,5.81185433346039,0.000298,0.999022,0.000243,0.000437,1543.11,1493.55,1878.76,1397.55,1.001,1.002,1.001,1.001
"CD",2,"MM",6,"CD2_MM_6","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.3374874404684,72.3224138010653,56.1329096080971,36.238041201567,4.98561009359855,0.000252,0.999332,0.000221,0.000195,1801.59,2024.2,2085.48,2377.21,1.001,1.002,1.001,1.001
