param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.236054,0.236154,0.204706,0.266901
q_ind_1_pop_0,0.213810,0.213795,0.187706,0.240475
q_ind_2_pop_0,0.182597,0.182218,0.151692,0.215132
q_ind_3_pop_0,0.182515,0.182567,0.156959,0.208073
q_ind_4_pop_0,0.196655,0.196661,0.173046,0.221205
q_ind_5_pop_0,0.185779,0.185562,0.157971,0.215431
q_ind_6_pop_0,0.212743,0.212615,0.187800,0.238646
q_ind_7_pop_0,0.184737,0.184581,0.159048,0.211868
q_ind_8_pop_0,0.214984,0.214827,0.189957,0.240368
q_ind_9_pop_0,0.195287,0.195181,0.169283,0.222105
q_ind_10_pop_0,0.210686,0.210662,0.186114,0.235637
q_ind_11_pop_0,0.202858,0.202830,0.177650,0.228058
q_ind_12_pop_0,0.255819,0.255735,0.234282,0.277708
q_ind_13_pop_0,0.000544,0.000097,0.000000,0.003823
q_ind_14_pop_0,0.000548,0.000097,0.000000,0.003700
q_ind_15_pop_0,0.000698,0.000125,0.000000,0.004713
q_ind_16_pop_0,0.000519,0.000096,0.000000,0.003530
q_ind_17_pop_0,0.000488,0.000086,0.000000,0.003229
q_ind_18_pop_0,0.002083,0.000838,0.000000,0.009794
q_ind_19_pop_0,0.000742,0.000143,0.000000,0.004876
q_ind_20_pop_0,0.755523,0.755734,0.726823,0.783677
q_ind_21_pop_0,0.998002,0.998940,0.991136,0.999998
q_ind_22_pop_0,0.996595,0.997649,0.987836,0.999994
q_ind_23_pop_0,0.999174,0.999604,0.996037,0.999999
q_ind_24_pop_0,0.999070,0.999566,0.995466,0.999999
q_ind_25_pop_0,0.999064,0.999556,0.995414,0.999999
q_ind_26_pop_0,0.998925,0.999487,0.994774,0.999999
q_ind_27_pop_0,0.999126,0.999583,0.995684,0.999999
q_ind_28_pop_0,0.984467,0.984713,0.971305,0.996704
q_ind_29_pop_0,0.868696,0.868875,0.844598,0.891599
q_ind_30_pop_0,0.999310,0.999683,0.996575,0.999999
q_ind_31_pop_0,0.999196,0.999636,0.995810,0.999999
q_ind_32_pop_0,0.000199,0.000034,0.000000,0.001391
q_ind_33_pop_0,0.000304,0.000051,0.000000,0.002122
q_ind_34_pop_0,0.000263,0.000043,0.000000,0.001826
q_ind_35_pop_0,0.221319,0.221199,0.197932,0.245961
q_ind_36_pop_0,0.000168,0.000029,0.000000,0.001147
q_ind_37_pop_0,0.000453,0.000080,0.000000,0.003028
q_ind_38_pop_0,0.000371,0.000066,0.000000,0.002549
q_ind_39_pop_0,0.000560,0.000113,0.000000,0.003535
q_ind_40_pop_0,0.000264,0.000046,0.000000,0.001771
q_ind_41_pop_0,0.000532,0.000101,0.000000,0.003428
q_ind_42_pop_0,0.007440,0.007194,0.000005,0.017790
q_ind_43_pop_0,0.000300,0.000049,0.000000,0.002072
q_ind_44_pop_0,0.996987,0.998431,0.986908,0.999997
q_ind_45_pop_0,0.978939,0.979082,0.961604,0.996363
q_ind_46_pop_0,0.976184,0.976293,0.961089,0.989941
q_ind_47_pop_0,0.997738,0.998980,0.989331,0.999998
q_ind_48_pop_0,0.998810,0.999479,0.993807,0.999999
q_ind_49_pop_0,0.995387,0.997148,0.981494,0.999995
q_ind_50_pop_0,0.996746,0.998441,0.984884,0.999997
q_ind_51_pop_0,0.990213,0.990509,0.977879,0.999885
q_ind_52_pop_0,0.996086,0.997312,0.986079,0.999995
q_ind_53_pop_0,0.998314,0.999205,0.991981,0.999999
q_ind_54_pop_0,0.992078,0.994270,0.974071,0.999988
q_ind_55_pop_0,0.992467,0.993533,0.978171,0.999980
q_ind_56_pop_0,0.000314,0.000056,0.000000,0.002066
q_ind_57_pop_0,0.000547,0.000104,0.000000,0.003585
q_ind_58_pop_0,0.000200,0.000034,0.000000,0.001369
q_ind_59_pop_0,0.000286,0.000045,0.000000,0.002052
q_ind_60_pop_0,0.000188,0.000033,0.000000,0.001270
q_ind_61_pop_0,0.000410,0.000068,0.000000,0.002905
q_ind_62_pop_0,0.000221,0.000039,0.000000,0.001500
q_ind_63_pop_0,0.000152,0.000026,0.000000,0.001067
q_ind_64_pop_0,0.000245,0.000041,0.000000,0.001652
q_ind_65_pop_0,0.000217,0.000038,0.000000,0.001469
q_ind_66_pop_0,0.000254,0.000047,0.000000,0.001707
q_ind_67_pop_0,0.000197,0.000033,0.000000,0.001328
q_ind_68_pop_0,0.995649,0.997032,0.984505,0.999995
q_ind_69_pop_0,0.746747,0.746658,0.724356,0.768690
q_ind_70_pop_0,0.627537,0.627741,0.600329,0.653288
q_ind_71_pop_0,0.996290,0.997692,0.986483,0.999996
q_ind_72_pop_0,0.998521,0.999364,0.992689,0.999999
q_ind_73_pop_0,0.994052,0.995014,0.982345,0.999987
q_ind_74_pop_0,0.989809,0.989933,0.978765,0.999716
q_ind_75_pop_0,0.992898,0.993793,0.980282,0.999982
q_ind_76_pop_0,0.984364,0.984556,0.972132,0.995773
q_ind_77_pop_0,0.998384,0.999320,0.991856,0.999999
q_ind_78_pop_0,0.891327,0.891341,0.873610,0.908571
q_ind_79_pop_0,0.998812,0.999479,0.993914,0.999999
q_ind_80_pop_0,0.999260,0.999649,0.996358,0.999999
q_ind_81_pop_0,0.999120,0.999566,0.995864,0.999999
q_ind_82_pop_0,0.998796,0.999431,0.994076,0.999999
q_ind_83_pop_0,0.998745,0.999403,0.993844,0.999999
q_ind_84_pop_0,0.936859,0.937100,0.918226,0.954399
q_ind_85_pop_0,0.995359,0.996261,0.985488,0.999988
q_ind_86_pop_0,0.997857,0.998592,0.992078,0.999996
q_ind_87_pop_0,0.999102,0.999599,0.995434,0.999999
q_ind_88_pop_0,0.936286,0.936546,0.917451,0.954078
q_ind_89_pop_0,0.998772,0.999418,0.994135,0.999999
q_ind_90_pop_0,0.999179,0.999619,0.995964,0.999999
q_ind_91_pop_0,0.999062,0.999583,0.995260,0.999999
q_ind_92_pop_0,0.998880,0.999475,0.994422,0.999999
q_ind_93_pop_0,0.997040,0.998114,0.988697,0.999996
q_ind_94_pop_0,0.999140,0.999625,0.995694,0.999999
q_ind_95_pop_0,0.999194,0.999624,0.995993,0.999999
q_ind_96_pop_0,0.998331,0.999125,0.992610,0.999998
q_ind_97_pop_0,0.998864,0.999416,0.994711,0.999999
q_ind_98_pop_0,0.998949,0.999511,0.994739,0.999999
q_ind_99_pop_0,0.861351,0.861311,0.842208,0.880369
q_ind_100_pop_0,0.049915,0.049771,0.038852,0.061618
