param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2157.07,1.000
q_ind_1_pop_0,1873.94,1.003
q_ind_2_pop_0,1973.71,1.000
q_ind_3_pop_0,985.46,1.005
q_ind_4_pop_0,2074.83,1.000
q_ind_5_pop_0,1388.83,1.001
q_ind_6_pop_0,1691.66,1.001
q_ind_7_pop_0,2060.94,1.000
q_ind_8_pop_0,2684.13,1.004
q_ind_9_pop_0,2511.41,1.001
q_ind_10_pop_0,842.52,1.000
q_ind_11_pop_0,3827.85,1.000
q_ind_12_pop_0,973.33,1.001
q_ind_13_pop_0,4130.72,1.000
q_ind_14_pop_0,2598.09,1.000
q_ind_15_pop_0,1295.97,1.001
q_ind_16_pop_0,1647.35,1.002
q_ind_17_pop_0,537.97,1.002
q_ind_18_pop_0,1759.47,1.004
q_ind_19_pop_0,1456.26,1.001
q_ind_20_pop_0,953.79,1.000
q_ind_21_pop_0,731.00,1.000
q_ind_22_pop_0,294.30,1.007
q_ind_23_pop_0,252.64,1.003
q_ind_24_pop_0,819.63,1.003
q_ind_25_pop_0,622.00,1.005
q_ind_26_pop_0,892.62,1.003
q_ind_27_pop_0,1522.90,1.002
q_ind_28_pop_0,735.58,1.005
q_ind_29_pop_0,897.37,1.006
q_ind_30_pop_0,870.69,1.004
q_ind_31_pop_0,1073.91,1.003
q_ind_32_pop_0,477.52,1.002
q_ind_33_pop_0,1059.26,1.004
q_ind_34_pop_0,374.64,1.004
q_ind_35_pop_0,5982.34,1.000
q_ind_36_pop_0,6187.50,1.000
q_ind_37_pop_0,5114.53,1.000
q_ind_38_pop_0,3694.45,1.002
q_ind_39_pop_0,2990.40,1.001
q_ind_40_pop_0,3681.20,1.001
q_ind_41_pop_0,3836.20,1.001
q_ind_42_pop_0,3321.89,1.002
q_ind_43_pop_0,3444.52,1.000
q_ind_44_pop_0,3037.04,1.003
q_ind_45_pop_0,5414.78,1.000
q_ind_46_pop_0,2010.63,1.000
q_ind_47_pop_0,3003.28,1.001
q_ind_48_pop_0,2918.58,1.001
q_ind_49_pop_0,3052.38,1.000
q_ind_50_pop_0,2913.60,1.002
q_ind_51_pop_0,2689.50,1.001
q_ind_52_pop_0,2892.92,1.001
q_ind_53_pop_0,2993.28,1.000
q_ind_54_pop_0,1126.15,1.001
q_ind_55_pop_0,1349.40,1.001
q_ind_56_pop_0,1350.85,1.000
q_ind_57_pop_0,1845.11,1.001
q_ind_58_pop_0,1348.14,1.000
q_ind_59_pop_0,1177.82,1.005
q_ind_60_pop_0,402.48,1.005
q_ind_61_pop_0,2487.83,1.000
q_ind_62_pop_0,1352.96,1.002
q_ind_63_pop_0,503.97,1.000
q_ind_64_pop_0,967.66,1.000
q_ind_65_pop_0,653.39,1.006
q_ind_66_pop_0,2455.75,1.001
q_ind_67_pop_0,279.84,1.002
q_ind_68_pop_0,634.25,1.003
q_ind_69_pop_0,1016.33,1.001
q_ind_70_pop_0,542.09,1.004
q_ind_71_pop_0,530.11,1.008
q_ind_72_pop_0,2268.27,1.000
q_ind_73_pop_0,1112.88,1.001
q_ind_74_pop_0,1947.13,1.003
q_ind_75_pop_0,1344.00,1.001
q_ind_76_pop_0,2176.78,1.001
