Pop,ID,All,Name,Lat,Long,State,Elevation,Ssp,Variety,PC1,PC2,PC3,PC4,PC5,Color,PC1_mean,PC2_mean
AH,10,EN_AH_10,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.08555258,-28.449827,-74.66610765,47.49138105,-9.950235437,green,-95.74975309,-28.45319198
AH,11,EN_AH_11,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.32794933,-28.29670852,-74.88217522,46.6283494,-11.2209075,green,-95.74975309,-28.45319198
AH,12,EN_AH_12,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-96.25403583,-30.21680747,-83.043124,50.31990272,-10.01541626,green,-95.74975309,-28.45319198
AH,13,EN_AH_13,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-93.45548996,-27.71789549,-71.45189384,49.3166397,-9.635603135,green,-95.74975309,-28.45319198
AH,14,EN_AH_14,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.78013366,-26.98291938,-69.39475262,44.94677643,-10.11253364,green,-95.74975309,-28.45319198
AH,15,EN_AH_15,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-94.18113598,-27.87605068,-71.5906392,48.44208979,-9.407978863,green,-95.74975309,-28.45319198
AH,1,EN_AH_1,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-94.84982088,-26.20375121,-71.7735432,47.58830506,-7.109127281,green,-95.74975309,-28.45319198
AH,2,EN_AH_2,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.67301212,-28.29723111,-73.85757249,47.68342293,-7.306150769,green,-95.74975309,-28.45319198
AH,3,EN_AH_3,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-97.19673332,-27.14451969,-66.49692971,48.46908269,-8.545327165,green,-95.74975309,-28.45319198
AH,4,EN_AH_4,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.7449101,-27.80905759,-70.66640729,48.1494557,-8.426147569,green,-95.74975309,-28.45319198
AH,5,EN_AH_5,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-95.3366635,-28.47360241,-72.21038071,48.6841826,-9.30168339,green,-95.74975309,-28.45319198
AH,6,EN_AH_6,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-98.70952108,-31.03129156,-82.11182575,54.9656625,-8.22172163,green,-95.74975309,-28.45319198
AH,7,EN_AH_7,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-93.82263806,-27.2599726,-73.35926316,49.85860115,-6.743123905,green,-95.74975309,-28.45319198
AH,8,EN_AH_8,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-96.93913601,-30.67513403,-79.31523726,53.50729272,-8.740923956,green,-95.74975309,-28.45319198
AH,9,EN_AH_9,Austin Hwy,39.600807,-117.159999,NV,1754,consilimis,oreophila,-97.88956394,-30.36311093,-80.45646378,52.61269017,-6.924949349,green,-95.74975309,-28.45319198
AR,2,EN_AR_2,Arenaria1,37.17384,-112.61817,UT,1870,NA,? bigelovii/arenaria,-76.96412911,0.956515734,101.7307961,49.91925686,-4.846630855,green,-76.78023193,-0.048453064
AR,3,EN_AR_3,Arenaria1,37.17384,-112.61817,UT,1870,NA,? bigelovii/arenaria,-74.69509959,0.564572586,105.8743752,52.23459847,-3.748243003,green,-76.78023193,-0.048453064
AR,4,EN_AR_4,Arenaria1,37.17384,-112.61817,UT,1870,NA,? bigelovii/arenaria,-81.58141387,-2.596193306,64.33946339,35.24501467,-3.590578899,green,-76.78023193,-0.048453064
AR,5,EN_AR_5,Arenaria1,37.17384,-112.61817,UT,1870,NA,? bigelovii/arenaria,-74.65194761,0.717989655,108.9470501,53.72564308,-5.023018887,green,-76.78023193,-0.048453064
AR,6,EN_AR_6,Arenaria1,37.17384,-112.61817,UT,1870,NA,? bigelovii/arenaria,-76.00856948,0.114850013,108.0428864,53.24610024,-5.207258481,green,-76.78023193,-0.048453064
AS,16,EN_AS_16,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,59.9039063,47.42094694,-6.839981528,-0.317875365,-43.3068204,grey,58.29141468,47.96678658
AS,17,EN_AS_17,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,56.64605637,51.37529124,-6.438580728,2.205733729,-46.92371128,grey,58.29141468,47.96678658
AS,18,EN_AS_18,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,56.87145672,48.22995012,-7.624200382,1.856411042,-40.16965112,grey,58.29141468,47.96678658
AS,19,EN_AS_19,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,56.09228838,49.27916945,-8.20597825,2.055923788,-45.05693016,grey,58.29141468,47.96678658
AS,20,EN_AS_20,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,57.9230875,59.09275051,-9.408572459,1.272797654,-53.31858243,grey,58.29141468,47.96678658
AS,21,EN_AS_21,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,60.05332966,48.69605352,-9.665195559,0.294608167,-46.59374525,grey,58.29141468,47.96678658
AS,22,EN_AS_22,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,57.32083475,49.00642509,-7.49512661,1.734844461,-43.3003734,grey,58.29141468,47.96678658
AS,23,EN_AS_23,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,60.43986947,36.73471741,-5.539395699,-1.544323776,-42.28334673,grey,58.29141468,47.96678658
AS,24,EN_AS_24,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,58.87079107,43.37947246,-6.799392734,0.108592702,-38.86163319,grey,58.29141468,47.96678658
AS,25,EN_AS_25,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,57.71413506,47.25201234,-7.125491831,0.976471042,-37.55663461,grey,58.29141468,47.96678658
AS,26,EN_AS_26,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,59.42644177,49.47503597,-7.890440341,-0.877560629,-48.36919362,grey,58.29141468,47.96678658
AS,27,EN_AS_27,Austin Summit,39.473104,-117.049449,NV,2408,NA,hololueca,57.72873118,57.03808332,-8.651737569,2.213530882,-52.14916395,grey,58.29141468,47.96678658
