param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000137,0.000003,0.000000,0.001199
q_ind_1_pop_0,0.000184,0.000005,0.000000,0.001667
q_ind_2_pop_0,0.000156,0.000004,0.000000,0.001383
q_ind_3_pop_0,0.000528,0.000020,0.000000,0.004298
q_ind_4_pop_0,0.000132,0.000003,0.000000,0.001196
q_ind_5_pop_0,0.000226,0.000006,0.000000,0.001938
q_ind_6_pop_0,0.000199,0.000006,0.000000,0.001741
q_ind_7_pop_0,0.000129,0.000003,0.000000,0.001144
q_ind_8_pop_0,0.000110,0.000003,0.000000,0.001015
q_ind_9_pop_0,0.000120,0.000003,0.000000,0.001057
q_ind_10_pop_0,0.000562,0.000024,0.000000,0.004439
q_ind_11_pop_0,0.000079,0.000002,0.000000,0.000687
q_ind_12_pop_0,0.000242,0.000007,0.000000,0.002126
q_ind_13_pop_0,0.000086,0.000002,0.000000,0.000755
q_ind_14_pop_0,0.000116,0.000003,0.000000,0.001002
q_ind_15_pop_0,0.038516,0.038358,0.023841,0.053967
q_ind_16_pop_0,0.052013,0.051867,0.037078,0.067671
q_ind_17_pop_0,0.027654,0.027206,0.011181,0.047036
q_ind_18_pop_0,0.056422,0.056273,0.041788,0.072217
q_ind_19_pop_0,0.044127,0.043959,0.029851,0.059317
q_ind_20_pop_0,0.999684,0.999991,0.997203,1.000000
q_ind_21_pop_0,0.999357,0.999976,0.994909,1.000000
q_ind_22_pop_0,0.997154,0.998974,0.987135,1.000000
q_ind_23_pop_0,0.998169,0.999726,0.989726,1.000000
q_ind_24_pop_0,0.999494,0.999980,0.995873,1.000000
q_ind_25_pop_0,0.999200,0.999960,0.994168,1.000000
q_ind_26_pop_0,0.999636,0.999990,0.996822,1.000000
q_ind_27_pop_0,0.999791,0.999994,0.998148,1.000000
q_ind_28_pop_0,0.999651,0.999990,0.997074,1.000000
q_ind_29_pop_0,0.999579,0.999987,0.996476,1.000000
q_ind_30_pop_0,0.999410,0.999976,0.995588,1.000000
q_ind_31_pop_0,0.999718,0.999992,0.997491,1.000000
