param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,424.72,1.003
q_ind_1_pop_0,8893.46,1.000
q_ind_2_pop_0,8246.65,1.000
q_ind_3_pop_0,12693.17,1.000
q_ind_4_pop_0,9567.33,1.000
q_ind_5_pop_0,1635.22,1.002
q_ind_6_pop_0,8729.01,1.000
q_ind_7_pop_0,9860.90,1.000
q_ind_8_pop_0,9825.54,1.000
q_ind_9_pop_0,8173.12,1.000
q_ind_10_pop_0,10289.28,1.000
q_ind_11_pop_0,6336.03,1.000
q_ind_12_pop_0,3380.86,1.000
q_ind_13_pop_0,6057.35,1.000
q_ind_14_pop_0,977.81,1.004
q_ind_15_pop_0,1046.52,1.000
q_ind_16_pop_0,1420.92,1.001
q_ind_17_pop_0,976.13,1.001
q_ind_18_pop_0,1235.57,1.003
q_ind_19_pop_0,281.02,1.012
q_ind_20_pop_0,354.98,1.002
q_ind_21_pop_0,282.30,1.010
q_ind_22_pop_0,101.65,1.004
q_ind_23_pop_0,2256.84,1.001
q_ind_24_pop_0,286.91,1.003
q_ind_25_pop_0,106.21,1.017
q_ind_26_pop_0,1149.37,1.001
q_ind_27_pop_0,1161.54,1.002
q_ind_28_pop_0,623.73,1.007
q_ind_29_pop_0,418.09,1.010
q_ind_30_pop_0,1156.31,1.001
q_ind_31_pop_0,1027.84,1.002
q_ind_32_pop_0,425.70,1.002
q_ind_33_pop_0,1240.65,1.001
q_ind_34_pop_0,1747.22,1.005
q_ind_35_pop_0,302.05,1.008
q_ind_36_pop_0,1931.34,1.001
q_ind_37_pop_0,172.87,1.012
q_ind_38_pop_0,107.83,1.009
q_ind_39_pop_0,170.85,1.007
q_ind_40_pop_0,7853.61,1.001
q_ind_41_pop_0,4669.29,1.000
q_ind_42_pop_0,5041.57,1.001
q_ind_43_pop_0,2022.22,1.000
q_ind_44_pop_0,888.75,1.002
q_ind_45_pop_0,119.85,1.009
q_ind_46_pop_0,202.36,1.013
q_ind_47_pop_0,1134.21,1.001
q_ind_48_pop_0,108.17,1.037
q_ind_49_pop_0,731.46,1.003
q_ind_50_pop_0,105.46,1.004
q_ind_51_pop_0,1082.78,1.002
q_ind_52_pop_0,464.95,1.000
q_ind_53_pop_0,1177.33,1.001
q_ind_54_pop_0,802.36,1.002
q_ind_55_pop_0,799.20,1.002
q_ind_56_pop_0,8408.60,1.000
q_ind_57_pop_0,7465.40,1.000
q_ind_58_pop_0,12418.29,1.000
q_ind_59_pop_0,861.05,1.001
q_ind_60_pop_0,7575.42,1.000
q_ind_61_pop_0,3186.80,1.002
q_ind_62_pop_0,11446.37,1.000
q_ind_63_pop_0,2048.18,1.001
q_ind_64_pop_0,5006.58,1.000
q_ind_65_pop_0,1000.27,1.001
q_ind_66_pop_0,8396.65,1.001
q_ind_67_pop_0,1967.68,1.000
q_ind_68_pop_0,7909.07,1.000
q_ind_69_pop_0,480.25,1.004
q_ind_70_pop_0,7584.87,1.000
q_ind_71_pop_0,2006.70,1.001
q_ind_72_pop_0,6283.96,1.000
q_ind_73_pop_0,2649.36,1.000
q_ind_74_pop_0,11818.71,1.000
q_ind_75_pop_0,11826.24,1.000
q_ind_76_pop_0,6119.66,1.000
q_ind_77_pop_0,1171.22,1.000
q_ind_78_pop_0,10325.14,1.000
q_ind_79_pop_0,7397.19,1.000
q_ind_80_pop_0,10937.39,1.000
q_ind_81_pop_0,11202.95,1.000
q_ind_82_pop_0,1668.94,1.000
q_ind_83_pop_0,1139.13,1.001
q_ind_84_pop_0,3753.74,1.000
q_ind_85_pop_0,1978.49,1.000
q_ind_86_pop_0,5993.02,1.000
q_ind_87_pop_0,3454.53,1.001
q_ind_88_pop_0,611.34,1.001
q_ind_89_pop_0,6957.53,1.000
q_ind_90_pop_0,533.88,1.003
q_ind_91_pop_0,4280.51,1.000
q_ind_92_pop_0,6525.34,1.001
q_ind_93_pop_0,7367.02,1.000
q_ind_94_pop_0,2012.48,1.000
q_ind_95_pop_0,1888.16,1.001
q_ind_96_pop_0,589.73,1.006
q_ind_97_pop_0,121.27,1.027
q_ind_98_pop_0,91.29,1.020
q_ind_99_pop_0,719.32,1.006
q_ind_100_pop_0,157.23,1.018
q_ind_101_pop_0,322.55,1.008
q_ind_102_pop_0,891.29,1.001
q_ind_103_pop_0,1004.99,1.002
q_ind_104_pop_0,263.08,1.006
q_ind_105_pop_0,553.07,1.013
q_ind_106_pop_0,1754.97,1.000
q_ind_107_pop_0,1350.82,1.001
q_ind_108_pop_0,1037.18,1.001
q_ind_109_pop_0,1010.61,1.003
q_ind_110_pop_0,10385.40,1.000
q_ind_111_pop_0,919.87,1.002
q_ind_112_pop_0,8540.39,1.000
q_ind_113_pop_0,7501.08,1.000
q_ind_114_pop_0,6610.48,1.000
q_ind_115_pop_0,1169.39,1.000
q_ind_116_pop_0,5216.33,1.000
q_ind_117_pop_0,927.45,1.000
q_ind_118_pop_0,1112.40,1.001
q_ind_119_pop_0,531.87,1.001
q_ind_120_pop_0,766.75,1.001
q_ind_121_pop_0,1105.24,1.003
q_ind_122_pop_0,449.85,1.017
q_ind_123_pop_0,1359.05,1.001
q_ind_124_pop_0,101.37,1.006
q_ind_125_pop_0,3368.06,1.000
q_ind_126_pop_0,2454.73,1.001
q_ind_127_pop_0,229.01,1.022
q_ind_128_pop_0,2086.57,1.001
q_ind_129_pop_0,560.26,1.003
q_ind_130_pop_0,862.51,1.001
q_ind_131_pop_0,1634.90,1.001
q_ind_132_pop_0,1914.34,1.003
q_ind_133_pop_0,378.65,1.013
q_ind_134_pop_0,985.71,1.001
q_ind_135_pop_0,2800.11,1.001
q_ind_136_pop_0,1719.66,1.001
q_ind_137_pop_0,2705.25,1.001
q_ind_138_pop_0,2341.64,1.001
q_ind_139_pop_0,2436.46,1.002
q_ind_140_pop_0,946.82,1.002
q_ind_141_pop_0,1464.06,1.004
q_ind_142_pop_0,1898.98,1.001
q_ind_143_pop_0,2308.97,1.001
q_ind_144_pop_0,1885.18,1.000
q_ind_145_pop_0,2259.43,1.001
q_ind_146_pop_0,574.60,1.009
q_ind_147_pop_0,642.17,1.001
q_ind_148_pop_0,1028.55,1.002
q_ind_0_pop_1,1046.98,1.001
q_ind_1_pop_1,6875.90,1.000
q_ind_2_pop_1,8497.99,1.000
q_ind_3_pop_1,11605.10,1.000
q_ind_4_pop_1,9295.29,1.000
q_ind_5_pop_1,2334.78,1.000
q_ind_6_pop_1,8753.04,1.000
q_ind_7_pop_1,9060.71,1.000
q_ind_8_pop_1,8562.05,1.000
q_ind_9_pop_1,9219.38,1.000
q_ind_10_pop_1,10125.27,1.000
q_ind_11_pop_1,6504.42,1.000
q_ind_12_pop_1,3967.58,1.001
q_ind_13_pop_1,6129.02,1.000
q_ind_14_pop_1,2333.83,1.000
q_ind_15_pop_1,1757.41,1.001
q_ind_16_pop_1,2773.89,1.000
q_ind_17_pop_1,3587.88,1.000
q_ind_18_pop_1,3231.19,1.001
q_ind_19_pop_1,199.26,1.005
q_ind_20_pop_1,287.00,1.007
q_ind_21_pop_1,179.84,1.007
q_ind_22_pop_1,1158.18,1.001
q_ind_23_pop_1,3500.68,1.000
q_ind_24_pop_1,2102.01,1.001
q_ind_25_pop_1,435.38,1.003
q_ind_26_pop_1,2290.41,1.001
q_ind_27_pop_1,2206.88,1.000
q_ind_28_pop_1,840.64,1.005
q_ind_29_pop_1,361.59,1.006
q_ind_30_pop_1,361.11,1.018
q_ind_31_pop_1,559.29,1.002
q_ind_32_pop_1,2893.56,1.000
q_ind_33_pop_1,3178.49,1.001
q_ind_34_pop_1,3169.53,1.001
q_ind_35_pop_1,673.60,1.002
q_ind_36_pop_1,2261.36,1.001
q_ind_37_pop_1,1296.50,1.001
q_ind_38_pop_1,1352.85,1.004
q_ind_39_pop_1,2989.96,1.001
q_ind_40_pop_1,5221.34,1.000
q_ind_41_pop_1,4327.41,1.000
q_ind_42_pop_1,5683.91,1.001
q_ind_43_pop_1,2382.58,1.000
q_ind_44_pop_1,1519.49,1.002
q_ind_45_pop_1,155.74,1.007
q_ind_46_pop_1,79.20,1.001
q_ind_47_pop_1,5908.51,1.000
q_ind_48_pop_1,4628.35,1.000
q_ind_49_pop_1,1740.72,1.004
q_ind_50_pop_1,1287.22,1.000
q_ind_51_pop_1,224.88,1.023
q_ind_52_pop_1,987.50,1.001
q_ind_53_pop_1,5707.69,1.000
q_ind_54_pop_1,1846.95,1.000
q_ind_55_pop_1,308.86,1.001
q_ind_56_pop_1,9975.79,1.000
q_ind_57_pop_1,7788.58,1.000
q_ind_58_pop_1,13331.07,1.000
q_ind_59_pop_1,1176.89,1.001
q_ind_60_pop_1,11153.52,1.000
q_ind_61_pop_1,2631.26,1.000
q_ind_62_pop_1,12095.47,1.000
q_ind_63_pop_1,172.89,1.006
q_ind_64_pop_1,6275.50,1.001
q_ind_65_pop_1,523.26,1.005
q_ind_66_pop_1,7832.53,1.000
q_ind_67_pop_1,1978.43,1.003
q_ind_68_pop_1,8648.30,1.000
q_ind_69_pop_1,1047.51,1.001
q_ind_70_pop_1,8812.93,1.001
q_ind_71_pop_1,1967.60,1.002
q_ind_72_pop_1,8877.89,1.000
q_ind_73_pop_1,5090.45,1.000
q_ind_74_pop_1,13196.11,1.000
