"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10"
"AM0",1,"AM0_1","AM",0,"LS","R",10.43256797,-84.02686603,79.25,1.53,0.17,9,-4.6128382256396,4.37801710355129,-27.0019132001241,17.3297760787869,-12.3903929362521,0.093005,0.025584,0.008085,0.512429,0.239059,0.000402,0.006135,0.094472,0.000313,0.020515,329.59,147.04,107.69,2.05,2.01,891.52,17.63,630.66,666.74,236.9,1.139,1.045,1.027,15.63,19.559,1.001,1.46,1.036,1.002,1.023
"AM1",10,"AM1_10","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.225652342297,60.1008865124173,72.0935150893704,-5.91685190845959,12.7768692935182,2.3e-05,2.8e-05,2.3e-05,2.4e-05,2.5e-05,3e-05,2.5e-05,2.6e-05,2.3e-05,0.999773,10980.87,9082.97,10666.69,10025.54,10003.43,8599.5,10808.69,9203.58,11044.21,9114.66,1,1,1,1,1,1,1,1,1,1.001
"AM1",1,"AM1_1","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.504429385794,59.9762990011107,71.8777097052539,-6.20267996327208,12.9020781611791,2.5e-05,2.8e-05,2.8e-05,2.9e-05,2.7e-05,3e-05,2.4e-05,3.4e-05,2.5e-05,0.999751,10756.89,9317.37,10281.67,8916.85,9322.78,8381.19,10763.59,7696.34,11189.17,9241.47,1,1,1,1,1,1,1,1,1,1
"AM1",2,"AM1_2","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,161.148158110917,61.0152116679435,72.4024891041944,-5.9267375190095,12.5086816099044,1.8e-05,2e-05,1.9e-05,1.9e-05,1.9e-05,2.1e-05,1.8e-05,1.9e-05,1.7e-05,0.999829,13029.83,11778.3,12878.13,12813.86,12827.64,11834.6,14082.11,12457.97,13118.9,12596.74,1,1,1,1,1,1,1,1,1,1
"AM1",3,"AM1_3","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.641398221165,60.2700114965821,72.2362182758281,-5.79082071197349,13.3064896878113,2.2e-05,2.4e-05,2.1e-05,2.3e-05,2.3e-05,2.5e-05,2.1e-05,2.5e-05,2.2e-05,0.999795,10680.23,10988.26,12140.35,10291.67,11369.45,10042.72,11992.75,10669.94,11536.52,10798.87,1,1,1,1,1,1,1,1,1,1
"AM1",4,"AM1_4","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,123.072891860257,49.1952395612145,49.8254825708794,-5.10878155512307,6.67541381398901,0.034071,0.000262,0.007414,0.120496,0.060308,0.059474,0.000302,0.007195,0.001218,0.709259,2347.65,1089.43,191.09,2.5,2.62,1543.78,974.39,216.91,203.66,10102.37,1.002,1.001,1.006,4.782,5.464,1.022,1.001,1.005,1.02,1.002
"AM1",5,"AM1_5","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.498973334939,61.552565951089,71.0101665088551,-6.19784653171122,10.740681425556,2.3e-05,2.5e-05,2.3e-05,2.5e-05,2.4e-05,2.5e-05,2.2e-05,2.5e-05,2.1e-05,0.999787,11192.97,11411.77,10664.29,10989.93,10066.9,10336.37,11001.65,10954.71,11035.04,10923.45,1,1,1,1,1.001,1,1,1,1,1.001
"AM1",6,"AM1_6","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.861062260904,60.0727190825865,71.8570783368396,-5.50719991494033,12.8411603924189,2e-05,2.5e-05,2.3e-05,2.5e-05,2.5e-05,2.8e-05,2.3e-05,2.6e-05,2.4e-05,0.999781,11932.77,9681.85,10040.22,9021.69,10071.08,8722.16,10463.09,10280.45,11359.7,9410.17,1,1,1,1,1,1,1,1,1,1
"AM1",7,"AM1_7","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.673778728586,60.8396105775117,71.870445305747,-6.39186988948671,12.5049106027926,2.5e-05,2.7e-05,2.6e-05,2.6e-05,2.5e-05,2.9e-05,2.5e-05,2.5e-05,2.4e-05,0.999767,9940.4,9839.5,10084.78,9896.43,10133.1,8939.57,10760.61,10649.75,10367.19,9031.81,1,1,1,1.001,1,1,1,1,1,1.001
"AM1",8,"AM1_8","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,158.370080280226,61.8036418880883,71.1388847762234,-6.91992873156882,10.5359676577938,5.9e-05,3.4e-05,3.4e-05,3.1e-05,3.3e-05,3.4e-05,3e-05,3e-05,2.8e-05,0.999685,4936.47,7299.81,7930.07,8733.08,8273.68,8109.49,9092.75,8552.55,9689.35,6678.03,1.001,1,1,1,1,1.001,1.001,1,1,1.001
"AM1",9,"AM1_9","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.901235505057,60.2644525552228,72.5153014911951,-5.99471171150265,13.4816052185608,1.9e-05,2.4e-05,2.1e-05,2.2e-05,2.1e-05,2.4e-05,2e-05,2.1e-05,2.1e-05,0.999806,12278.53,10192.05,11748.55,11004.35,11947.17,10760.49,12301.18,11138.73,11907.39,10895.61,1,1,1,1,1,1,1,1,1,1
"LOC200",1,"LOC200_1","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,11.6296410247918,-28.8377211357302,-13.2869356325055,5.46746590159064,-3.6749661192043,8e-05,0.003087,0.000656,0.439042,0.467732,0.000506,0.012614,0.053237,0.001989,0.021058,2032.2,68.31,208.96,2,2.01,405.57,20.91,2.36,180.36,22.41,1.004,1.082,1.024,42.696,58.744,1.023,1.321,4.486,1.048,2.023
"LOC200",2,"LOC200_2","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,13.7685911158338,-32.0911694009471,-14.728657706307,7.79440947454547,-4.7078408249225,6.3e-05,0.011479,0.000315,0.430109,0.463124,0.000996,0.017231,0.05254,0.000599,0.023546,2919.12,57.03,565.46,2,2.01,230.94,9.23,2.26,325.38,17.44,1.003,1.277,1.016,39.972,61.304,1.029,1.699,5.101,1.02,2.338
"LOC200",3,"LOC200_3","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,12.2238200533078,-30.6508897671567,-14.3443813559083,6.4917273033048,-5.17679752686589,6.6e-05,0.00203,0.000422,0.440952,0.468927,0.000856,0.016045,0.049627,0.001039,0.020037,2365.88,147.84,553.8,2,2,303.05,8.34,2.32,275.54,30.18,1.004,1.041,1.022,43.734,66.395,1.031,1.615,4.631,1.03,2.093
"SAT150",1,"SAT150_1","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,13.3577275867799,2.45501887639529,-30.2621344156382,19.0653699271385,-6.7052271585541,0.053901,0.052772,0.000172,0.398376,0.165997,0.161591,0.000218,0.109274,0.000131,0.057569,1370.92,182.27,1851.7,2.03,2,5.73,1531.48,1338.58,2536.53,2161,1.133,1.155,1.002,15.728,19.388,1.65,1.002,1.021,1,1.006
"SAT150",2,"SAT150_2","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,11.2764204102323,-11.5873214448273,-32.5068768335626,22.721858905584,3.59060830966754,0.000559,0.061834,0.000397,0.429664,0.220465,0.075155,0.000418,0.174954,0.001062,0.035491,515.97,963.01,844.35,2.03,2.02,1080.33,699.91,1980.29,425.03,1461.36,1.003,1.029,1.008,13.359,15.801,1.095,1.001,1.011,1.001,1.001
"SAT150",3,"SAT150_3","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,12.3900259533085,-6.64844770400751,-29.6425380668426,13.087293954519,-1.03649321270717,0.012261,0.091347,0.000224,0.374581,0.168237,0.201847,0.000206,0.114081,0.000356,0.036861,149.14,942.95,1416.76,2.03,2,15.49,1655.23,2123.57,1046.71,958.34,1.031,1.026,1.002,12.574,15.4,1.265,1.001,1.008,1.002,1.005
"SAZ100",1,"SAZ100_1","SAZ",100,"LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,7.84147607245686,-21.3841006438558,-34.363776152475,-9.32413145338857,-10.4256943405182,0.000147,0.036859,0.060552,0.483796,0.190006,0.183324,0.00016,0.041499,0.001001,0.002656,1458.25,412.01,76.53,2.03,1.98,7.21,2050.22,114.01,231.91,221.01,1.001,1.01,1.199,22.041,28.582,1.457,1.002,1.191,1.037,1.015
"SAZ100",3,"SAZ100_3","SAZ",100,"LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,5.8520503806253,-24.5696086083996,-35.4454766888645,-19.8037736135583,-7.56372574829496,0.000168,0.070217,0.071366,0.430387,0.186715,0.205605,9.2e-05,0.017804,0.01709,0.000555,1659.22,652.26,30.25,2.03,1.99,14.86,2998.57,22.98,70.5,829.67,1.001,1.02,1.243,16.53,21.354,1.226,1,1.147,1.104,1.002
"SAZ250",1,"SAZ250_1","SAZ",250,"LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-10.1532398666762,-9.36378998620948,-32.1570754474011,-27.6667928898412,-33.8034653852481,0.007207,0.007809,0.161935,0.409568,0.40837,0.002316,0.000127,0.000187,0.002378,0.000103,2.1,11.24,3.63,2.01,2,112.62,2181.19,1617.17,65.54,2928.7,3.074,1.2,2.185,48.078,48.594,1.027,1,1.009,1.017,1.004
"SAZ250",2,"SAZ250_2","SAZ",250,"LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-8.725365746409,-11.1022530386094,-26.4665404464659,-8.06405095210909,-23.7161973257177,0.021371,0.001626,0.074512,0.510921,0.355984,0.002433,0.001359,0.006401,0.025098,0.000295,9.2,239.94,813.05,2.03,2.06,79.3,250.7,6.04,542.79,1353.21,1.478,1.02,1.055,11.619,14.882,1.011,1.014,1.411,1.017,1.003
"SAZ250",3,"SAZ250_3","SAZ",250,"LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-10.4924874358609,-8.71598361903253,-32.4697007267356,-27.6368044085145,-34.5712115231024,0.008645,0.008022,0.160057,0.409348,0.408617,0.002666,0.00013,0.000193,0.002226,9.7e-05,2.07,37.68,3.59,2,2,79.13,2245.24,1509.17,72.62,3045.88,4.358,1.173,2.25,50.64,48.937,1.051,1,1.007,1.027,1.003
"SAZ450",1,"SAZ450_1","SAZ",450,"LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,-21.7691901302257,-11.496553896597,-24.9095877533796,-7.67819422648814,-8.9223590330117,0.049594,0.008475,0.053403,0.446035,0.254734,0.036748,0.009813,0.048675,0.092425,9.9e-05,1129.25,109.8,1627.43,2.31,2.17,1207.83,140.91,474.86,1826.22,2416.55,1.043,1.045,1.002,10.171,12.966,1.002,1.042,1.095,1.002,1
