"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","ESS11","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10","Rhat11"
"AM0",1,"AM0_1","AM",0,"LS","R",10.43256797,-84.02686603,79.25,1.53,0.17,9,-4.6128382256396,4.37801710355129,-27.0019132001241,17.3297760787869,-12.3903929362521,0.029183,0.000268,0.087865,0.00641,0.004435,0.114438,0.000322,0.010963,0.643343,0.083811,0.018962,424.72,1046.98,1785.87,137.56,176.09,476.01,951.44,154.87,318.85,2901.65,487.18,1.003,1.001,1,1.017,1.01,1.002,1.001,1.02,1.005,1.001,1.003
"AM1",10,"AM1_10","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.225652342297,60.1008865124173,72.0935150893704,-5.91685190845959,12.7768692935182,2.6e-05,3e-05,2.4e-05,2.3e-05,2.3e-05,2.3e-05,2.2e-05,2.5e-05,2.3e-05,2.1e-05,0.999761,8893.46,6875.9,10221.82,10474.1,10228.2,9361.67,10413.98,10738.88,10632.08,11714.93,9707.62,1,1,1,1,1,1,1,1,1,1.001,1
"AM1",1,"AM1_1","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.504429385794,59.9762990011107,71.8777097052539,-6.20267996327208,12.9020781611791,2.8e-05,2.7e-05,3.1e-05,2.3e-05,2.6e-05,2.6e-05,2.3e-05,2.6e-05,2.5e-05,2.3e-05,0.999741,8246.65,8497.99,7356.6,10031.15,9164.58,9258.7,9565.2,8102.01,8923.61,10892.6,9228.87,1,1,1,1,1,1,1,1,1,1,1.001
"AM1",2,"AM1_2","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,161.148158110917,61.0152116679435,72.4024891041944,-5.9267375190095,12.5086816099044,1.9e-05,2e-05,1.8e-05,1.7e-05,1.8e-05,1.8e-05,1.6e-05,1.9e-05,1.7e-05,1.6e-05,0.999822,12693.17,11605.1,12182.7,13113.86,12272.37,12552.48,12983.88,12227.46,13556.43,14055.89,12797.57,1,1,1,1,1,1,1,1,1,1,1
"AM1",3,"AM1_3","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.641398221165,60.2700114965821,72.2362182758281,-5.79082071197349,13.3064896878113,2.2e-05,2.4e-05,2.3e-05,2e-05,2e-05,2e-05,1.9e-05,2.2e-05,2.1e-05,2e-05,0.999789,9567.33,9295.29,10750.47,10759.11,12072.63,10998.2,12312.94,8822.64,11192.36,11641.68,10090.88,1,1,1,1,1,1,1,1,1,1,1
"AM1",4,"AM1_4","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,123.072891860257,49.1952395612145,49.8254825708794,-5.10878155512307,6.67541381398901,0.000222,0.057777,0.005526,0.000268,0.007921,0.041743,0.00137,0.008072,0.135277,0.032734,0.70909,1635.22,2334.78,207.67,998.5,158.75,836.77,175.3,169.08,602.13,2152.99,10320.68,1.002,1,1.009,1.003,1.033,1.001,1.009,1.013,1.004,1.003,1
"AM1",5,"AM1_5","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.498973334939,61.552565951089,71.0101665088551,-6.19784653171122,10.740681425556,2.3e-05,2.4e-05,2.4e-05,2.1e-05,2.1e-05,2.5e-05,1.9e-05,2.3e-05,2.2e-05,2.2e-05,0.999775,8729.01,8753.04,10275.97,12015.76,10544.46,7819.14,12117.58,10073.8,9436.04,10609.87,9787.05,1,1,1,1,1,1,1.001,1,1,1,1
"AM1",6,"AM1_6","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.861062260904,60.0727190825865,71.8570783368396,-5.50719991494033,12.8411603924189,2.3e-05,2.6e-05,2.4e-05,2.2e-05,2.3e-05,2.4e-05,2e-05,2.3e-05,2.3e-05,2e-05,0.999772,9860.9,9060.71,10303.59,10253.12,10346.92,9796.9,11786.91,9802.99,10683.52,12498.61,9692.21,1,1,1,1,1,1,1,1,1,1.001,1
"AM1",7,"AM1_7","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.673778728586,60.8396105775117,71.870445305747,-6.39186988948671,12.5049106027926,2.4e-05,2.8e-05,2.4e-05,2.2e-05,2.5e-05,2.6e-05,2.2e-05,2.4e-05,2.6e-05,2.4e-05,0.999757,9825.54,8562.05,10704.84,10646.78,10342.88,8679.53,11438.94,10215.52,8592.24,9058.43,8738.49,1,1,1,1,1,1,1,1,1,1,1
"AM1",8,"AM1_8","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,158.370080280226,61.8036418880883,71.1388847762234,-6.91992873156882,10.5359676577938,3.3e-05,2.9e-05,2.7e-05,2.9e-05,3.4e-05,3e-05,2.7e-05,3.2e-05,2.9e-05,5.6e-05,0.999674,8173.12,9219.38,8706.73,8757.51,6668.81,8304.39,8488.24,8429.39,8215.87,4463.32,6831.22,1,1,1,1,1,1,1,1,1,1.001,1
"AM1",9,"AM1_9","AM",1,"LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.901235505057,60.2644525552228,72.5153014911951,-5.99471171150265,13.4816052185608,2.2e-05,2.3e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2e-05,2e-05,1.9e-05,1.8e-05,0.9998,10289.28,10125.27,12204.06,11564.27,10940.01,11721.79,10702.56,11527.86,11691.03,11583.02,11033.49,1,1,1,1,1,1,1,1,1,1,1
"LOC200",1,"LOC200_1","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,11.6296410247918,-28.8377211357302,-13.2869356325055,5.46746590159064,-3.6749661192043,4.4e-05,4.1e-05,5.4e-05,4.7e-05,4.1e-05,4.4e-05,4.8e-05,0.999558,4.4e-05,3.4e-05,4.4e-05,6336.03,6504.42,4704.95,5545.41,6357.67,5013.19,5786.53,5361.19,5663.3,7059.57,5230.81,1,1,1,1,1,1,1.001,1,1,1.001,1
"LOC200",2,"LOC200_2","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,13.7685911158338,-32.0911694009471,-14.728657706307,7.79440947454547,-4.7078408249225,7.5e-05,6.3e-05,9.3e-05,7e-05,4.7e-05,5.5e-05,5.6e-05,0.999369,6.1e-05,3.7e-05,7.5e-05,3380.86,3967.58,2691.16,3839.86,5900.28,4381.01,4518.52,3427.9,4297.87,6011.29,3302.03,1,1.001,1.001,1,1,1.001,1,1.001,1,1,1
"LOC200",3,"LOC200_3","LOC",200,"LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,12.2238200533078,-30.6508897671567,-14.3443813559083,6.4917273033048,-5.17679752686589,4.4e-05,4.3e-05,4.9e-05,4.7e-05,4.1e-05,4.1e-05,4.6e-05,0.999579,4.2e-05,3e-05,3.8e-05,6057.35,6129.02,4893.04,5584.75,6374.3,6622.09,4718.54,5378.42,5782.91,7899.45,6809.62,1,1,1.001,1,1,1.001,1,1,1,1,1
"SAT150",1,"SAT150_1","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,13.3577275867799,2.45501887639529,-30.2621344156382,19.0653699271385,-6.7052271585541,0.056495,0.151641,0.104379,0.00021,0.000164,0.016006,0.000115,0.018531,0.548901,0.046769,0.056789,977.81,2333.83,1877.01,991.43,1669.61,36.54,2254.94,150.19,75.46,2038.91,1837.84,1.004,1,1.002,1.001,1.001,1.04,1,1.013,1.001,1,1
"SAT150",2,"SAT150_2","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,11.2764204102323,-11.5873214448273,-32.5068768335626,22.721858905584,3.59060830966754,0.060413,0.070455,0.167145,0.000403,0.000368,0.117106,0.001019,0.084153,0.465763,0.000313,0.032861,1046.52,1757.41,3855.24,447.59,564.23,1039.69,395.53,1435.48,1367.77,1067.13,1467.24,1,1.001,1,1.005,1.003,1.004,1.003,1.001,1.004,1,1
"SAT150",3,"SAT150_3","SAT",150,"LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,12.3900259533085,-6.64844770400751,-29.6425380668426,13.087293954519,-1.03649321270717,0.091783,0.194917,0.108798,0.000191,0.000201,0.044808,0.000254,0.048121,0.469078,0.006229,0.035622,1420.92,2773.89,2524.61,1634.49,1376.44,402.05,1249.55,878.5,623.82,125.17,1010.11,1.001,1,1.001,1,1,1.001,1.002,1,1.005,1.011,1.001
"SAZ100",1,"SAZ100_1","SAZ",100,"LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,7.84147607245686,-21.3841006438558,-34.363776152475,-9.32413145338857,-10.4256943405182,0.039337,0.173193,0.030465,0.000125,0.060709,0.000737,0.000759,0.023927,0.669139,0.00013,0.001478,976.13,3587.88,715.5,2223.05,1626.25,509.37,506.32,263.44,815.67,2143.33,361.33,1.001,1,1.003,1.002,1.001,1.001,1.004,1.004,1.001,1.001,1.003
"SAZ100",3,"SAZ100_3","SAZ",100,"LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,5.8520503806253,-24.5696086083996,-35.4454766888645,-19.8037736135583,-7.56372574829496,0.076465,0.197744,0.007839,8.3e-05,0.074542,0.031577,0.014002,0.036397,0.560718,0.000158,0.000475,1235.57,3231.19,100.42,3106.65,1466,222.79,160.87,734.88,632.57,1794.89,776.61,1.003,1.001,1.001,1.001,1.001,1.02,1.012,1,1.011,1.001,1.003
"SAZ250",1,"SAZ250_1","SAZ",250,"LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-10.1532398666762,-9.36378998620948,-32.1570754474011,-27.6667928898412,-33.8034653852481,0.001673,0.00159,0.00013,0.000128,0.17203,0.821591,0.001975,0.00023,0.000239,0.000337,7.8e-05,281.02,199.26,2149.08,2138.2,1692.69,412,218.38,1434.63,1035.03,871.77,3283.42,1.012,1.005,1.001,1.001,1.002,1.004,1.001,1.003,1.001,1,1
