"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5"
"AM0","1","AM0_1","AM","0","LS","R",10.43256797,-84.02686603,79.25,1.53,0.17,9,-4.6128382256396,4.37801710355129,-27.0019132001241,17.3297760787869,-12.3903929362521
"AM1","10","AM1_10","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.225652342297,60.1008865124173,72.0935150893704,-5.91685190845959,12.7768692935182
"AM1","1","AM1_1","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.504429385794,59.9762990011107,71.8777097052539,-6.20267996327208,12.9020781611791
"AM1","2","AM1_2","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,161.148158110917,61.0152116679435,72.4024891041944,-5.9267375190095,12.5086816099044
"AM1","3","AM1_3","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.641398221165,60.2700114965821,72.2362182758281,-5.79082071197349,13.3064896878113
"AM1","4","AM1_4","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,123.072891860257,49.1952395612145,49.8254825708794,-5.10878155512307,6.67541381398901
"AM1","5","AM1_5","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.498973334939,61.552565951089,71.0101665088551,-6.19784653171122,10.740681425556
"AM1","6","AM1_6","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,159.861062260904,60.0727190825865,71.8570783368396,-5.50719991494033,12.8411603924189
"AM1","7","AM1_7","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.673778728586,60.8396105775117,71.870445305747,-6.39186988948671,12.5049106027926
"AM1","8","AM1_8","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,158.370080280226,61.8036418880883,71.1388847762234,-6.91992873156882,10.5359676577938
"AM1","9","AM1_9","AM","1","LS","B",10.43391301,-84.02607604,79,2.04,0.21,9.7,160.901235505057,60.2644525552228,72.5153014911951,-5.99471171150265,13.4816052185608
"LOC200","1","LOC200_1","LOC","200","LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,11.6296410247918,-28.8377211357302,-13.2869356325055,5.46746590159064,-3.6749661192043
"LOC200","2","LOC200_2","LOC","200","LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,13.7685911158338,-32.0911694009471,-14.728657706307,7.79440947454547,-4.7078408249225
"LOC200","3","LOC200_3","LOC","200","LS","B",10.43312998,-84.01405203,75.875,3.275,0.37,8.85,12.2238200533078,-30.6508897671567,-14.3443813559083,6.4917273033048,-5.17679752686589
"SAT150","1","SAT150_1","SAT","150","LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,13.3577275867799,2.45501887639529,-30.2621344156382,19.0653699271385,-6.7052271585541
"SAT150","2","SAT150_2","SAT","150","LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,11.2764204102323,-11.5873214448273,-32.5068768335626,22.721858905584,3.59060830966754
"SAT150","3","SAT150_3","SAT","150","LS","R",10.43255397,-84.01487597,82.5,3.925,0.465,8.45,12.3900259533085,-6.64844770400751,-29.6425380668426,13.087293954519,-1.03649321270717
"SAZ100","1","SAZ100_1","SAZ","100","LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,7.84147607245686,-21.3841006438558,-34.363776152475,-9.32413145338857,-10.4256943405182
"SAZ100","3","SAZ100_3","SAZ","100","LS","R",10.43203102,-84.00471199,92.625,1.565,0.21,7.45,5.8520503806253,-24.5696086083996,-35.4454766888645,-19.8037736135583,-7.56372574829496
"SAZ250","1","SAZ250_1","SAZ","250","LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-10.1532398666762,-9.36378998620948,-32.1570754474011,-27.6667928898412,-33.8034653852481
"SAZ250","2","SAZ250_2","SAZ","250","LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-8.725365746409,-11.1022530386094,-26.4665404464659,-8.06405095210909,-23.7161973257177
"SAZ250","3","SAZ250_3","SAZ","250","LS","L",10.43280602,-84.00473898,89.75,2.425,0.29,8.35,-10.4924874358609,-8.71598361903253,-32.4697007267356,-27.6368044085145,-34.5712115231024
"SAZ450","1","SAZ450_1","SAZ","450","LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,-21.7691901302257,-11.496553896597,-24.9095877533796,-7.67819422648814,-8.9223590330117
"SAZ450","2","SAZ450_2","SAZ","450","LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,3.21515276554502,-5.66099868953644,-12.8458627572996,-13.3170875637504,5.12242159115239
"SAZ450","3","SAZ450_3","SAZ","450","LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,-9.59989024004598,0.404864518713382,0.380470410952284,5.29822174487499,-10.2894140300215
"SAZ500","10","SAZ500_10","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,15.9632463332145,-19.8576861468736,-8.29741016336744,-4.82600830062573,-25.3728555877301
"SAZ500","1","SAZ500_1","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-9.43017904921448,-1.14096501060465,-4.42113088524346,10.9509177838824,-27.6575000876178
"SAZ500","2","SAZ500_2","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-6.02500161972972,-11.7315778194515,-20.5187008312765,-4.0635375397647,-4.0026827862774
"SAZ500","3","SAZ500_3","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-9.21566812193856,-4.64913095007774,-7.647908107702,9.10312641527975,-24.2396723468477
"SAZ500","4","SAZ500_4","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-11.8406158274514,3.3143026738592,-15.7771070887432,1.69829090694921,-24.6402590718326
"SAZ500","5","SAZ500_5","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-12.4233078381883,-3.31674642885804,-18.7311624616872,-3.87483913508873,-18.9096499190131
"SAZ500","6","SAZ500_6","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-12.470030403267,-3.33254157953437,-14.5984765885797,-1.56708099989283,-16.4300826066065
"SAZ500","7","SAZ500_7","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-4.70893518244474,3.33014688090592,-25.4032228561235,4.01166268181339,-17.4014675491587
"SAZ500","8","SAZ500_8","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,7.37723350443895,-3.15403761663137,-12.1700953439715,-12.8664647184519,-11.5885960396518
"SAZ500","9","SAZ500_9","SAZ","500","LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-0.878065780726139,-9.34173368257006,-22.7986212680076,13.9431812552472,-13.2680425841217
"SLV400","1","SLV400_1","SLV","400","LS","B",10.43974003,-84.01232804,68.25,1.725,0.205,8.4,17.282594749901,-0.463706260571895,-22.3445714459777,32.7243140614639,7.27910816955414
"SLV400","2","SLV400_2","SLV","400","LS","B",10.43974003,-84.01232804,68.25,1.725,0.205,8.4,13.0043741078853,-15.4868674765153,-19.9940118439139,10.1703943900819,-18.2947708212096
"SOC1000","1","SOC1000_1","SOC","1000","LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,25.1510244719449,-8.39997401356412,-19.3144852369984,7.96848606089339,-4.67642895289283
"SOC1000","2","SOC1000_2","SOC","1000","LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,-2.46968105547146,-8.73319668825614,-23.530568417745,11.9277056829022,-25.6327955216576
"SOC1000","3","SOC1000_3","SOC","1000","LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,11.289018091609,-17.6388319479766,-26.75670832924,2.51133710443283,-13.1192478869108
"SOC1200","1","SOC1200_1","SOC","1200","LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,33.5790864204306,-14.0825297480888,-30.1341003676175,-13.9587223540917,-6.08950896209959
"SOC1200","2","SOC1200_2","SOC","1200","LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,30.563681524972,-12.4006621998408,-28.265333230307,-13.3154011490855,-5.82446195652345
"SOC1200","3","SOC1200_3","SOC","1200","LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,31.3961592046473,-14.1635594177053,-29.513325758235,-13.7473741225443,-5.74430778153939
"SOC1400","1","SOC1400_1","SOC","1400","LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,-2.57693992706865,-6.24569693003976,-23.9692074334591,6.6509840975459,-7.72815820934759
"SOC1400","2","SOC1400_2","SOC","1400","LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,1.38198153429814,-2.56582523541436,-22.5793897454686,21.3994834641355,6.63521773980008
"SOC1400","3","SOC1400_3","SOC","1400","LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,2.5288527563049,5.00758671919302,-14.118015342486,10.0795556569954,-11.3054357122591
"SOC1600","1","SOC1600_1","SOC","1600","LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,4.23851521779859,0.0905453609368938,-22.3124998845716,13.4349085698331,0.755144412676542
"SOC1600","2","SOC1600_2","SOC","1600","LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,8.03989264083822,-11.7180352185432,-24.5038352719173,-4.58163339221384,1.39583068550673
"SOC1600","3","SOC1600_3","SOC","1600","LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,7.9016863731411,-10.8067962521193,-42.2316344533538,32.6871993632259,7.65492345526486
"SOC1900","1","SOC1900_1","SOC","1900","LS","L",10.44152998,-84.01307403,76.25,2.59,0.31,8.4,7.20124678476656,-6.37036344568403,-21.1023874346742,6.54725712063237,-7.19093802634206
"SOC800","1","SOC800_1","SOC","800","LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,11.1110520984515,-22.0647567109941,-25.6068063714336,-0.105373175686964,-7.31403068465431
"SOC800","2","SOC800_2","SOC","800","LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,8.92956195944092,-8.63513487723793,-29.4567943169669,10.8841659930354,-14.203762015318
"SOC800","3","SOC800_3","SOC","800","LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,12.1221470526406,-0.105852485771535,-28.4221720346111,4.93915878890023,-43.2440796706181
"SOC900","1","SOC900_1","SOC","900","LS","L",10.43791001,-84.01081,92.625,2.555,0.32,8,23.3122113361168,-14.4317477784296,-26.179097728315,-7.35011100038589,-1.63628455807817
"SOC900","2","SOC900_2","SOC","900","LS","L",10.43791001,-84.01081,92.625,2.555,0.32,8,-6.54408502112341,-15.4820492685801,-30.9770248280129,0.172090765319069,-14.9529528270986
"SOC900","3","SOC900_3","SOC","900","LS","L",10.43791001,-84.01081,92.625,2.555,0.32,8,9.92772929007567,-5.45365778057682,-20.9320655911964,11.721481832144,-24.4199455773918
"SOR350","10","SOR350_10","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-97.3717756675076,166.169970805451,7.27578802235271,-0.397370335612427,-0.219221237693412
"SOR350","1","SOR350_1","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-95.8468659289947,164.984753678844,6.15379913908105,0.0286621856645072,-2.07538805628875
"SOR350","2","SOR350_2","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-97.926108030716,168.143948702885,7.36037419847978,0.152567933832973,-0.510813754705747
"SOR350","3","SOR350_3","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-86.0014940447004,144.379272541329,3.95042222291795,0.327095853861838,-0.284763064769099
"SOR350","4","SOR350_4","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-96.2965775279533,165.070963636159,7.54250848208657,-0.0977954954504323,-0.327092864182288
"SOR350","5","SOR350_5","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-95.4471914326003,163.775288290225,6.47321056152482,-1.12659161129981,-2.51493915202706
"SOR350","6","SOR350_6","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-97.4043843939991,168.274789086755,6.21295903227266,-0.0568202422308306,-2.31538227456673
"SOR350","7","SOR350_7","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-23.5568361458518,-22.1871156742011,21.0911406605528,-22.2202665255574,11.1054959435949
"SOR350","8","SOR350_8","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-96.4236131721309,162.953561046133,7.55303709982162,0.379578531099825,-1.13179783362215
"SOR350","9","SOR350_9","SOR","350","LS","R",10.42724999,-84.003434,88,3.595,0.435,8.25,-88.2594882723325,149.155109351913,2.77893356892458,-0.0921590254166398,2.02625362872729
"SOR400","10","SOR400_10","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-55.2121392048161,-34.4970857199442,40.6710713443174,-56.5095956399145,115.521838296799
"SOR400","1","SOR400_1","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-42.4565054829913,-33.8183759588825,34.1532521369342,-62.2108010280609,47.3306276540222
"SOR400","2","SOR400_2","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-58.468895124259,-34.4474822936598,42.4260277401224,-59.9595192737837,120.921062290699
"SOR400","3","SOR400_3","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-58.186288647927,-34.383736467357,82.2670972811413,18.9225494937732,16.0810389327519
"SOR400","4","SOR400_4","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-56.0140651128142,-33.9612532304249,40.812810834206,-55.6067836900923,114.881003455446
"SOR400","7","SOR400_7","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-43.49991250768,-32.9671985601572,33.5401658120194,-60.8084438699371,46.6744863449818
"SOR400","8","SOR400_8","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-56.7807628718786,-32.2668962703511,40.2658005455189,-56.1408395751418,115.57087503583
"SOR400","9","SOR400_9","SOR","400","LS","R",10.42719299,-84.00286001,94.25,2.355,0.285,8.25,-56.6243545370171,-34.2028283408019,42.1704377559092,-58.3641870957842,120.652142957182
"SOR450","10","SOR450_10","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-69.0128415002208,-59.3919411666184,134.885525792215,74.073284855596,-34.3301091227181
"SOR450","1","SOR450_1","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-69.0398411161046,-58.4084505860192,133.972699962774,73.8493408033315,-35.3489321624285
"SOR450","2","SOR450_2","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-68.0035968415659,-57.1080475291904,129.334617019731,71.2118172193301,-34.0345066361134
"SOR450","3","SOR450_3","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-15.7727884902785,-19.5360383101151,5.50364006134669,-28.6641047149332,-14.082357229003
"SOR450","4","SOR450_4","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-69.9061325608576,-58.9335767446996,135.412377421452,74.3279211054379,-35.3497385683959
"SOR450","5","SOR450_5","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-68.1800143271305,-56.7861660443459,130.302659780532,71.6503482953878,-35.742414255259
"SOR450","6","SOR450_6","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-69.5482929317731,-59.6845729597015,136.144049432818,74.3329374999513,-35.0362425046984
