param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.093005,0.093084,0.076932,0.108558
q_ind_1_pop_0,0.000023,0.000000,0.000000,0.000220
q_ind_2_pop_0,0.000025,0.000000,0.000000,0.000242
q_ind_3_pop_0,0.000018,0.000000,0.000000,0.000173
q_ind_4_pop_0,0.000022,0.000000,0.000000,0.000209
q_ind_5_pop_0,0.034071,0.034045,0.023507,0.044746
q_ind_6_pop_0,0.000023,0.000000,0.000000,0.000220
q_ind_7_pop_0,0.000020,0.000000,0.000000,0.000195
q_ind_8_pop_0,0.000025,0.000000,0.000000,0.000245
q_ind_9_pop_0,0.000059,0.000000,0.000000,0.000563
q_ind_10_pop_0,0.000019,0.000000,0.000000,0.000187
q_ind_11_pop_0,0.000080,0.000001,0.000000,0.000779
q_ind_12_pop_0,0.000063,0.000000,0.000000,0.000597
q_ind_13_pop_0,0.000066,0.000000,0.000000,0.000645
q_ind_14_pop_0,0.053901,0.053906,0.038239,0.069238
q_ind_15_pop_0,0.000559,0.000005,0.000000,0.005157
q_ind_16_pop_0,0.012261,0.012318,0.000000,0.029598
q_ind_17_pop_0,0.000147,0.000001,0.000000,0.001455
q_ind_18_pop_0,0.000168,0.000001,0.000000,0.001611
q_ind_19_pop_0,0.007207,0.000033,0.000000,0.038525
q_ind_20_pop_0,0.021371,0.020483,0.000524,0.042726
q_ind_21_pop_0,0.008645,0.000094,0.000000,0.042197
q_ind_22_pop_0,0.049594,0.049601,0.034541,0.064229
q_ind_23_pop_0,0.054401,0.054364,0.040696,0.068660
q_ind_24_pop_0,0.094735,0.094763,0.078922,0.110002
q_ind_25_pop_0,0.000146,0.000001,0.000000,0.001402
q_ind_26_pop_0,0.071543,0.071587,0.055398,0.087770
q_ind_27_pop_0,0.046372,0.046336,0.032696,0.060190
q_ind_28_pop_0,0.060880,0.060927,0.045191,0.076487
q_ind_29_pop_0,0.089092,0.089169,0.074517,0.103484
q_ind_30_pop_0,0.063323,0.063283,0.047715,0.079199
q_ind_31_pop_0,0.062181,0.062153,0.044707,0.080026
q_ind_32_pop_0,0.090551,0.090573,0.074858,0.106047
q_ind_33_pop_0,0.057264,0.057313,0.042466,0.071963
q_ind_34_pop_0,0.023060,0.023041,0.004250,0.039948
q_ind_35_pop_0,0.044221,0.044276,0.029811,0.058256
q_ind_36_pop_0,0.000601,0.000005,0.000000,0.005566
q_ind_37_pop_0,0.001189,0.000016,0.000000,0.009664
q_ind_38_pop_0,0.037676,0.038107,0.019378,0.053996
q_ind_39_pop_0,0.000970,0.000013,0.000000,0.008034
q_ind_40_pop_0,0.000032,0.000000,0.000000,0.000314
q_ind_41_pop_0,0.000052,0.000000,0.000000,0.000500
q_ind_42_pop_0,0.000035,0.000000,0.000000,0.000351
q_ind_43_pop_0,0.062088,0.062063,0.048537,0.075677
q_ind_44_pop_0,0.060974,0.060995,0.045956,0.075671
