well_plate,cell_location,sample_ID,
KRLA_1,A1,SW_01,
KRLA_1,A2,SW_02,
KRLA_1,A3,SW_03,
KRLA_1,A4,SW_04,
KRLA_1,A5,SW_05,
KRLA_1,A6,SW_06,
KRLA_1,A7,SW_07,
KRLA_1,A8,SW_08,
KRLA_1,A9,SW_09,
KRLA_1,A10,SW_10,
KRLA_1,A11,SW_11,
KRLA_1,A12,SW_12,
KRLA_1,B1,SW_13,
KRLA_1,B2,SW_14,
KRLA_1,B3,SW_15,
KRLA_1,B4,SW_16,
KRLA_1,B5,SW_17,
KRLA_1,B6,SW_18,
KRLA_1,B7,SW_19,
KRLA_1,B8,SW_20,
KRLA_1,B9,AS_01,
KRLA_1,B10,AS_02,
KRLA_1,B11,AS_03,
KRLA_1,B12,AS_04,
KRLA_1,C1,AS_05,
KRLA_1,C2,AS_06,
KRLA_1,C3,AS_07,
KRLA_1,C4,AS_08,
KRLA_1,C5,AS_09,
KRLA_1,C6,AS_10,
KRLA_1,C7,AS_11,
KRLA_1,C8,AS_12,
KRLA_1,C9,AS_13,
KRLA_1,C10,AS_14,
KRLA_1,C11,AS_15,
KRLA_1,C12,AS_16,
KRLA_1,D1,AS_17,
KRLA_1,D2,AS_18,
KRLA_1,D3,AS_19,
KRLA_1,D4,AS_20,
KRLA_1,D5,KP_01,
KRLA_1,D6,KP_02,
KRLA_1,D7,KP_03,
KRLA_1,D8,KP_04,
KRLA_1,D9,KP_05,
KRLA_1,D10,KP_06,
KRLA_1,D11,KP_07,
KRLA_1,D12,KP_08,
KRLA_1,E1,KP_09,
KRLA_1,E2,KP_10,
KRLA_1,E3,KP_11,
KRLA_1,E4,KP_12,
KRLA_1,E5,KP_13,
KRLA_1,E6,KP_14,
KRLA_1,E7,KP_15,
KRLA_1,E8,KP_16,
KRLA_1,E9,KP_17,
KRLA_1,E10,KP_18,
KRLA_1,E11,KP_19,
KRLA_1,E12,EMPTY,
KRLA_1,F1,EM_01,
KRLA_1,F2,EM_02,
KRLA_1,F3,EM_03,
KRLA_1,F4,EM_04,
KRLA_1,F5,EM_05,
KRLA_1,F6,EM_06,
KRLA_1,F7,EM_07,
KRLA_1,F8,EM_08,
KRLA_1,F9,EM_09,
KRLA_1,F10,EM_10,
KRLA_1,F11,EM_11,
KRLA_1,F12,EMPTY,
KRLA_1,G1,EM_13,
KRLA_1,G2,EM_14,
KRLA_1,G3,EM_15,
KRLA_1,G4,EM_16,
KRLA_1,G5,EM_17,
KRLA_1,G6,EM_18,
KRLA_1,G7,EM_19,
KRLA_1,G8,EM_20,
KRLA_1,G9,SL_01,
KRLA_1,G10,SL_02,
KRLA_1,G11,SL_03,
KRLA_1,G12,EMPTY,
KRLA_1,H1,SL_05,
KRLA_1,H2,SL_06,
KRLA_1,H3,SL_07,
KRLA_1,H4,SL_08,
KRLA_1,H5,SL_09,
KRLA_1,H6,SL_10,
KRLA_1,H7,SL_11,
KRLA_1,H8,SL_12,
KRLA_1,H9,SL_13,
KRLA_1,H10,SL_14,
KRLA_1,H11,SL_15,
KRLA_1,H12,EMPTY,
KRLA_2,A1,SL_17,
KRLA_2,A2,SL_18,
KRLA_2,A3,SL_19,
KRLA_2,A4,SL_20,
KRLA_2,A5,LS_01,
KRLA_2,A6,LS_02,
KRLA_2,A7,LS_03,
KRLA_2,A8,LS_04,
KRLA_2,A9,LS_05,
KRLA_2,A10,LS_06,
KRLA_2,A11,LS_07,
KRLA_2,A12,LS_08,
