site name,Two letter abbrev,Lat,Long,lat2,long2
UNR-KRLA-Dolye-1,DY,40.133711,-120.079417,40.133711 N,120.079417 W
UNR-KRLA-Rodeo Creek Rd-1,RC,40.462294,-119.345634,40.462294 N,119.345634 W
UNR-KRLA-Sparks-1,SP,39.60687,-119.61818,39.60687 N,119.61818 W
UNR-KRLA-Yerington-1,YE,39.039777,-119.243873,39.039777 N,119.243873 W
UNR-KRLA-Hwy 6-1 (Tonopah),TO,38.082289,-117.031012,38.082289 N,117.031012 W
UNR-KRLA-Pine Grive Flat-1,PG,38.748702,-119.076284,38.748702 N,119.076284 W
UNR-KRLA-Mt. Montgomery-1 (Volcanic Hills),VH,37.975491,-118.175838,37.975491 N,118.175838 W
UNR-KRLA-Gabbs-1,GA,38.837047,-117.942922,38.837047 N,117.942922 W
UNR-KRLA-Gerlach-1,GE,40.752022,-119.284962,40.752022 N,119.284962 W
UNR-KRLA-Sylvania Mountains-1,SM,37.466343,-117.830166,37.466343 N,117.830166 W
UNR-KRLA2-Jackson Wash-Greenhouse,JW,37.45812111,-117.2372488,37.45812111 N,117.2372488 W
UNR-KRLA2-Manhattan-Greenhouse,MA,38.569324,-117.171043,38.569324 N,117.171043 W
UNR-KRLA2-Coal Canyon-Greenhouse,CC,40.195705,-118.258786,40.195705 N,118.258786 W
UNR-KRLA2-Duffurena-Greenhouse,DU,41.673756,-118.486103,41.673756 N,118.486103 W
UNR-KRLA2-Bottle Creek-Greenhouse,BC,40.948074,-118.377919,40.948074 N,118.377919 W
UNR-KRLA2-Ophir Canyon-Greenhouse,OC,38.941971,-117.206581,38.941971 N,117.206581 W
