"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"1",NA,NA,42.3533,-121.8215,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.05",3,"EF485719","EF486053","T-1520","44","28","2",0.0063,0.819,0.01,0.165,"Columbia","Columbia"
"2",NA,NA,42.4372,-121.2745,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.07",2,"EF485721","EF486055","T-1518","44","56","2",0.0055,0.934,0.0055,0.055,"Columbia","Columbia"
"3",NA,NA,41.67,-121.2552,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.08",3,"EF485624","EF485958","T-1524","40","28","2",0.0123,0.8517,0.0653,0.071,"Columbia","Columbia"
"4",NA,NA,50.7847,-121.1893,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_T-1061",4,"EF485613","EF485947","PI 598958","41","56","2",0.005,0.9897,0.003,8e-04,"Columbia","Columbia"
"5",NA,NA,42.4088,-121.0593,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.06",2,"EF485720","EF486054","T-1517","48","56","2",0.053,0.817,0.064,0.0665,"Columbia","Columbia"
"6",NA,NA,41.4718,-120.9407,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_CA.06",3,"EF485622","EF485956","T-1526","40","56","2",0.0053,0.812,0.0567,0.126,"Columbia","Columbia"
"7",NA,NA,44.1792,-120.847,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.28",3,"EF485746","EF486080","T-1688","48","56","2",0.018,0.8943,0.072,0.0153,"Columbia","Columbia"
"8",NA,NA,50.204,-120.8408,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.16",3,"EF485599","EF485933","PI 655156","29","56","2",0.0023,0.9943,0.0027,0.001,"Columbia","Columbia"
"9",NA,NA,50.7185,-120.8385,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.26",2,"EF485609","EF485943","T-1059","41","56","2",0.0035,0.9925,0.0025,0.002,"Columbia","Columbia"
"10",NA,NA,50.7388,-120.8227,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.28",3,"EF485611","EF485945","PI 655155","41","56","2",0.0025,0.996,0.0015,0.001,"Columbia","Columbia"
